Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 34586 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   157 MBytes  1.32 Gbits/sec    4   1.41 KBytes       
[  4]   1.00-2.00   sec   474 MBytes  3.98 Gbits/sec  385    611 KBytes       
[  4]   2.00-3.00   sec  1.09 GBytes  9.41 Gbits/sec    0    611 KBytes       
[  4]   3.00-4.00   sec  1.09 GBytes  9.40 Gbits/sec    0    612 KBytes       
[  4]   4.00-5.00   sec  1.09 GBytes  9.40 Gbits/sec    0    612 KBytes       
[  4]   5.00-6.00   sec  1.09 GBytes  9.40 Gbits/sec    0    626 KBytes       
[  4]   6.00-7.00   sec  1.09 GBytes  9.40 Gbits/sec    0    686 KBytes       
[  4]   7.00-8.00   sec  1.09 GBytes  9.39 Gbits/sec    0    690 KBytes       
[  4]   8.00-9.00   sec  1.10 GBytes  9.42 Gbits/sec    0    700 KBytes       
[  4]   9.00-10.00  sec  1.09 GBytes  9.40 Gbits/sec    4    411 KBytes       
[  4]  10.00-11.00  sec  1.09 GBytes  9.40 Gbits/sec    0    618 KBytes       
[  4]  11.00-12.00  sec  76.2 MBytes   639 Mbits/sec  119   1.41 KBytes       
[  4]  12.00-13.00  sec   542 MBytes  4.55 Gbits/sec   88    812 KBytes       
[  4]  13.00-14.00  sec   710 MBytes  5.96 Gbits/sec    1   1.41 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  15.00-16.00  sec  1.03 GBytes  8.83 Gbits/sec  516    583 KBytes       
[  4]  16.00-17.00  sec  1.10 GBytes  9.42 Gbits/sec    2    585 KBytes       
[  4]  17.00-18.00  sec  1.09 GBytes  9.41 Gbits/sec    0    585 KBytes       
[  4]  18.00-19.00  sec  1.10 GBytes  9.41 Gbits/sec    0    585 KBytes       
[  4]  19.00-20.00  sec   612 MBytes  5.14 Gbits/sec    1   1.41 KBytes       
[  4]  20.00-21.00  sec  28.8 MBytes   241 Mbits/sec  350    409 KBytes       
[  4]  21.00-22.00  sec  1.09 GBytes  9.41 Gbits/sec    0    560 KBytes       
[  4]  22.00-23.00  sec  1.10 GBytes  9.42 Gbits/sec    0    624 KBytes       
[  4]  23.00-24.00  sec  1.10 GBytes  9.41 Gbits/sec    0    624 KBytes       
[  4]  24.00-25.00  sec  1.09 GBytes  9.41 Gbits/sec    0    634 KBytes       
[  4]  25.00-26.00  sec  1.10 GBytes  9.42 Gbits/sec    0    641 KBytes       
[  4]  26.00-27.00  sec  1.09 GBytes  9.41 Gbits/sec    0    663 KBytes       
[  4]  27.00-28.00  sec  1.10 GBytes  9.41 Gbits/sec    0    663 KBytes       
[  4]  28.00-29.00  sec  1.10 GBytes  9.42 Gbits/sec    0    672 KBytes       
[  4]  29.00-30.00  sec  1.09 GBytes  9.39 Gbits/sec    0    684 KBytes       
[  4]  30.00-31.00  sec   525 MBytes  4.40 Gbits/sec    1   1.41 KBytes       
[  4]  31.00-32.00  sec   114 MBytes   954 Mbits/sec  395    594 KBytes       
[  4]  32.00-33.00  sec  1.10 GBytes  9.41 Gbits/sec    0    594 KBytes       
[  4]  33.00-34.00  sec  1.09 GBytes  9.41 Gbits/sec    0    631 KBytes       
[  4]  34.00-35.00  sec  1.10 GBytes  9.41 Gbits/sec    0    652 KBytes       
[  4]  35.00-36.00  sec  1.09 GBytes  9.39 Gbits/sec    0    670 KBytes       
[  4]  36.00-37.00  sec   551 MBytes  4.62 Gbits/sec    4   1.41 KBytes       
[  4]  37.00-38.00  sec  88.8 MBytes   745 Mbits/sec  235    690 KBytes       
[  4]  38.00-39.00  sec  1.09 GBytes  9.41 Gbits/sec    0    690 KBytes       
[  4]  39.00-40.00  sec  1.09 GBytes  9.40 Gbits/sec    0    690 KBytes       
[  4]  40.00-41.00  sec  1.10 GBytes  9.42 Gbits/sec    0    690 KBytes       
[  4]  41.00-42.00  sec  1.10 GBytes  9.41 Gbits/sec    0    690 KBytes       
[  4]  42.00-43.00  sec  1.09 GBytes  9.41 Gbits/sec    0    690 KBytes       
[  4]  43.00-44.00  sec  1.10 GBytes  9.41 Gbits/sec    0    690 KBytes       
[  4]  44.00-45.00  sec  1.09 GBytes  9.41 Gbits/sec    0    690 KBytes       
[  4]  45.00-46.00  sec  1.10 GBytes  9.42 Gbits/sec    0    690 KBytes       
[  4]  46.00-47.00  sec  1.10 GBytes  9.41 Gbits/sec    0    690 KBytes       
[  4]  47.00-48.00  sec   476 MBytes  3.99 Gbits/sec   35   1.41 KBytes       
[  4]  48.00-49.00  sec   655 MBytes  5.50 Gbits/sec   63   1.41 KBytes       
[  4]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  50.00-51.00  sec  1.03 GBytes  8.84 Gbits/sec  447    656 KBytes       
[  4]  51.00-52.00  sec  1.09 GBytes  9.41 Gbits/sec    2    574 KBytes       
[  4]  52.00-53.00  sec  1.09 GBytes  9.40 Gbits/sec  156    535 KBytes       
[  4]  53.00-54.00  sec  1.09 GBytes  9.40 Gbits/sec    0    554 KBytes       
[  4]  54.00-55.00  sec  1.09 GBytes  9.40 Gbits/sec    0    646 KBytes       
[  4]  55.00-56.00  sec  1.09 GBytes  9.39 Gbits/sec    2    742 KBytes       
[  4]  56.00-57.00  sec  1.09 GBytes  9.40 Gbits/sec    0    742 KBytes       
[  4]  57.00-58.00  sec   421 MBytes  3.53 Gbits/sec  252    881 KBytes       
[  4]  58.00-59.00  sec  1.09 GBytes  9.41 Gbits/sec    2    663 KBytes       
[  4]  59.00-60.00  sec  1.09 GBytes  9.41 Gbits/sec    2    550 KBytes       
[  4]  60.00-61.00  sec  1.09 GBytes  9.41 Gbits/sec    0    578 KBytes       
[  4]  61.00-62.00  sec  1.09 GBytes  9.41 Gbits/sec    0    625 KBytes       
[  4]  62.00-63.00  sec  1.09 GBytes  9.40 Gbits/sec    0    649 KBytes       
[  4]  63.00-64.00  sec  1.09 GBytes  9.40 Gbits/sec    0    662 KBytes       
[  4]  64.00-65.00  sec   454 MBytes  3.80 Gbits/sec    1   1.41 KBytes       
[  4]  65.00-66.00  sec   181 MBytes  1.52 Gbits/sec  453    803 KBytes       
[  4]  66.00-67.00  sec   940 MBytes  7.89 Gbits/sec   45    321 KBytes       
