0 mrad/s	1 mrad/s	2.5 mrad/s	4 mrad/s	5 mrad/s	6 mrad/s	7 mrad/s
9.4	9.41	9.4	9.32	9.16	9.42	9.38
9.39	9.37	9.41	9.16	9.32	9.41	9.4
9.4	9.41	9.4	7.56	7.49	9.33	9.41
9.41	9.4	9.41	8.33	8.9	9.41	9.41
9.4	9.41	9.4	8.88	8.62	9.4	9.41
9.4	9.41	9.4	8.94	8.89	9.41	9.41
9.4	9.41	9.4	8.66	8.42	9.41	9.41
9.41	9.41	9.41	8.74	8.46	9.4	9.41
9.4	9.41	9.41	8.88	8.89	9.41	9.41
9.38	9.41	9.41	9.06	8.88	9.41	9.41
9.41	9.41	9.4	9.09	8.94	9.39	9.41
9.41	9.42	9.41	9.09	8.88	9.41	9.41
9.41	9.41	9.41	9.03	8.4	9.41	9.42
9.42	9.4	9.41	9.1	7.19	9.42	9.42
9.4	9.42	9.41	9.04	8.81	9.41	9.42
9.42	9.41	9.4	9.11	8.71	9.41	9.41
9.41	9.41	9.42	9.07	8.14	9.41	9.41
9.41	9.41	9.39	9.13	8.92	9.41	9.41
9.42	9.41	9.41	9.1	9.0	9.41	9.41
9.41	9.42	9.42	9.07	8.85	9.42	9.39
9.41	9.42	9.41	9.03	8.42	9.41	9.41
9.41	9.41	9.41	8.91	8.84	9.41	9.42
9.42	9.41	9.42	9.06	8.76	9.41	9.42
9.41	9.42	9.41	9.0	8.84	9.41	9.41
9.42	9.41	9.41	9.06	9.04	9.41	9.41
9.41	9.42	9.42	9.16	9.05	9.42	9.41
9.42	9.41	9.41	9.13	7.82	9.42	9.42
9.41	9.41	9.41	9.04	9.0	9.42	9.41
9.42	9.42	9.42	9.02	8.91	9.41	9.42
9.41	9.41	9.41	9.09	8.97	9.41	9.41
9.4	9.42	9.41	9.03	8.86	9.41	9.41
9.41	9.41	9.42	9.08	6.89	9.4	9.4
9.4	9.41	9.42	9.06	8.55	9.41	9.41
9.4	9.42	9.41	9.14	9.0	9.42	9.42
9.41	9.42	9.41	9.13	8.02	9.42	9.41
9.41	9.41	9.42	9.41	9.3	9.41	9.41
9.41	9.41	9.41	9.41	9.37	9.41	9.42
9.42	9.42	9.41	9.4	9.37	9.41	9.41
9.42	9.41	9.41	9.41	8.83	9.41	9.21
9.41	9.41	9.41	9.42	8.96	9.41	0.0
9.41	9.41	9.42	9.41	9.27	9.42	5.57
9.4	9.42	9.42	9.41	9.05	9.41	9.42
9.41	9.41	9.41	9.41	9.31	9.41	9.42
9.41	9.41	9.41	9.41	9.41	9.42	9.41
9.41	9.42	9.42	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.4	9.41	9.42	9.41
9.42	9.42	9.39	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.4	9.41	9.42
9.42	9.41	9.41	9.42	9.41	9.41	9.41
9.41	9.42	9.41	9.41	9.41	9.41	9.41
9.37	9.38	9.39	9.4	9.37	9.37	9.39
9.4	9.41	9.41	9.41	9.43	9.41	0.996
9.41	9.41	9.41	9.42	9.25	9.37	4.37
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.4	9.41	9.42	9.41	9.41	9.41
9.41	9.4	9.41	9.41	9.41	9.41	7.86
9.41	9.4	9.41	9.42	9.42	9.41	0.0
9.4	9.41	9.41	9.4	9.41	9.41	0.0
9.41	9.41	9.4	9.38	9.41	9.41	0.0
9.41	9.41	9.41	9.41	9.42	9.41	0.0
9.41	9.41	9.41	9.27	9.41	9.41	0.0
9.42	9.41	9.42	9.08	9.38	9.41	0.0
9.41	9.4	9.41	9.39	9.4	9.41	7.79
9.41	9.41	9.41	9.2	9.42	9.42	9.41
9.42	9.41	9.42	9.22	9.4	9.42	9.41
9.41	9.42	9.42	9.27	9.41	9.41	9.41
9.41	9.42	9.42	9.07	9.41	9.41	9.4
9.41	9.41	9.4	9.35	9.42	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.38	9.41	9.41	9.42	9.41
9.41	9.39	9.41	9.39	9.42	9.42	9.4
9.37	9.41	9.41	9.35	9.4	9.42	9.29
9.43	9.41	9.41	9.2	9.41	9.41	9.41
9.41	9.41	9.39	9.41	9.42	9.41	9.42
9.41	9.41	9.41	9.26	9.41	9.42	9.4
9.42	9.41	9.41	9.26	9.41	9.41	9.41
9.42	9.41	9.39	9.34	9.42	9.41	9.41
9.41	9.42	9.41	9.39	9.42	9.41	6.12
9.42	9.4	9.42	9.25	9.38	9.42	0.0
9.41	9.42	9.41	9.41	9.42	9.41	0.0
9.42	9.41	9.41	9.41	9.4	9.41	2.69
9.4	9.41	9.42	9.42	9.42	9.42	9.41
9.41	9.42	9.41	9.1	9.41	9.4	4.4
9.42	9.41	9.42	9.41	9.41	9.42	0.0
9.41	9.41	9.38	9.41	9.41	9.42	0.0
9.42	9.42	9.41	9.41	9.41	9.41	4.41
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.42	9.41	9.41	9.41	9.41	9.41	2.82
9.41	9.42	9.39	9.41	9.41	9.42	0.0
9.41	9.41	9.41	9.4	9.42	9.41	0.0
9.4	9.4	9.42	9.41	9.41	9.41	0.0
9.42	9.41	9.42	9.41	9.42	9.41	0.0
9.42	9.41	9.41	9.4	9.42	9.41	0.0
9.41	9.41	9.41	9.41	9.39	9.41	0.0
9.41	9.42	9.42	9.42	9.4	9.42	0.0
9.39	9.41	9.41	9.41	9.42	9.41	0.0
9.42	9.41	9.41	9.4	9.41	9.41	0.0
9.42	9.41	9.42	9.42	9.41	9.41	0.0
9.41	9.41	9.41	9.4	9.41	9.41	0.0
9.41	9.42	9.41	9.41	9.41	9.41	0.0
9.41	9.41	9.41	9.42	9.41	9.41	7.62
9.41	9.42	9.42	9.42	9.42	9.42	9.42
9.36	9.4	9.37	9.38	9.39	9.4	9.41
9.41	9.35	9.41	9.41	9.41	9.41	9.4
9.41	9.4	9.4	9.38	9.32	9.36	9.41
9.4	9.41	9.41	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.41	9.41	9.41	9.4
9.41	9.4	9.42	9.41	9.41	9.4	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.4	9.41	9.41	9.41	9.4	9.4
9.41	9.41	9.41	9.41	9.41	9.41	5.37
9.41	9.41	9.39	9.41	9.39	9.41	0.0
9.42	9.41	9.42	9.42	9.42	9.41	6.02
9.41	9.39	9.41	9.41	9.41	9.41	9.42
9.41	9.41	9.42	9.41	9.42	9.41	9.41
9.4	9.41	9.41	9.42	9.42	9.41	9.4
9.41	9.41	9.41	9.41	9.41	9.41	9.4
9.42	9.41	9.42	9.42	9.41	9.42	9.41
9.42	9.42	9.42	9.41	9.42	9.41	9.41
9.41	9.42	9.42	9.41	9.41	9.42	9.4
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.42	9.42	9.41	9.41	9.41
9.41	9.42	9.41	9.41	9.41	9.35	9.41
9.4	9.41	9.41	9.41	9.41	9.43	9.41
9.42	9.41	9.39	9.42	9.42	9.42	9.41
9.42	9.41	9.41	9.4	9.42	9.42	9.41
9.41	9.42	9.41	9.41	9.41	9.42	9.41
9.41	9.42	9.41	9.41	9.41	9.41	4.83
9.41	9.41	9.41	9.41	9.41	9.41	8.23
9.41	9.41	9.41	9.41	9.42	9.42	9.42
9.42	9.41	9.42	9.4	9.42	9.41	9.41
9.42	9.41	9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.42	9.4	9.42	9.41
9.41	9.41	9.41	9.39	9.4	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
