static	0 mrad/s	1 mrad/s	5 mrad/s	7 mrad/s
9.4	9.39	9.41	9.4	3.6
9.41	9.41	9.41	9.4	1.62
9.41	9.41	9.41	9.4	9.41
9.41	9.39	9.41	9.4	9.41
9.41	9.41	9.4	9.4	9.4
9.41	9.4	9.41	9.4	9.41
9.41	9.39	9.41	9.41	9.39
9.41	9.39	9.41	9.4	9.41
9.41	9.41	9.41	9.4	9.41
9.39	9.41	9.41	9.39	9.38
9.41	9.39	9.41	9.39	9.4
9.41	9.41	9.41	9.41	9.39
9.4	9.38	9.41	9.41	4.46
9.41	9.4	9.42	9.41	0.776
9.41	9.4	9.41	9.42	9.41
9.41	9.41	9.4	9.42	9.4
9.42	9.41	9.41	9.41	9.4
9.41	9.41	9.41	9.42	9.4
9.41	9.4	9.41	9.41	9.41
9.42	9.39	9.41	9.41	9.41
9.41	9.42	9.41	9.41	9.41
9.42	9.41	9.42	9.41	9.4
9.41	9.42	9.41	9.37	9.41
9.41	9.41	9.4	9.42	9.41
9.41	9.41	9.41	9.41	9.41
9.41	9.4	9.42	9.42	9.41
9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.41	9.42
9.41	9.42	9.42	9.41	9.41
9.41	9.41	9.42	9.42	9.41
9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.41	9.42	9.41	9.42	9.41
9.41	9.41	9.41	9.4	9.4
9.41	9.41	9.41	9.39	9.42
9.42	9.41	9.41	9.4	9.41
9.41	9.42	9.42	9.41	9.42
9.41	9.41	9.42	9.42	9.41
9.41	9.41	9.41	9.38	9.41
9.42	9.41	9.41	9.42	9.41
9.41	9.41	9.42	9.41	9.41
9.4	9.42	9.41	9.39	9.42
9.4	9.41	9.41	9.41	9.41
9.42	9.41	9.42	9.41	9.41
9.41	9.4	9.42	9.41	9.41
9.41	9.41	9.42	9.42	9.41
9.41	9.41	9.4	9.42	9.41
9.42	9.42	9.41	9.41	9.41
9.42	9.41	9.42	9.4	9.42
9.39	9.4	9.36	9.39	9.39
9.41	9.41	9.41	9.41	9.41
9.38	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.41	9.4
9.4	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.4
9.39	9.41	9.41	9.41	9.41
9.38	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.39	9.41	9.41	9.4	9.41
9.41	9.41	9.41	9.41	9.42
9.41	9.42	9.41	9.41	9.4
9.41	9.38	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.42	9.42	9.41	9.42	7.49
9.42	9.42	9.42	9.41	0.0
9.41	9.4	9.42	9.41	7.25
9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.42	9.42	9.41
9.41	9.42	9.41	9.42	9.42
9.41	9.41	9.41	9.41	9.41
9.41	9.39	9.41	9.41	9.4
9.42	9.41	9.41	9.39	9.41
9.41	9.41	9.41	9.32	9.42
9.41	9.41	9.41	9.42	9.41
9.42	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.42	9.42
9.41	9.41	9.41	9.41	9.38
9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.42	9.4	9.41
9.41	9.42	9.41	9.41	9.42
9.41	9.42	9.41	9.41	9.4
9.41	9.41	9.41	9.41	9.42
9.41	9.41	9.41	9.38	9.42
9.41	9.42	9.41	9.41	9.42
9.42	9.42	9.41	9.4	9.41
9.41	9.41	9.42	9.41	9.41
9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.42	9.42
9.41	9.41	9.42	9.39	9.4
9.36	9.41	9.4	9.41	9.42
9.41	9.38	9.41	9.41	9.41
9.41	9.36	9.42	9.41	9.41
9.41	9.42	9.41	9.42	9.41
9.41	9.41	9.4	9.42	9.42
9.41	9.41	9.41	9.41	9.41
9.41	9.42	9.41	9.4	9.41
9.41	9.42	9.4	9.41	9.41
9.37	9.38	9.4	9.36	9.37
9.4	9.32	9.41	9.4	9.4
9.4	9.43	9.41	9.38	9.4
9.41	9.4	9.42	9.41	9.41
9.4	9.41	9.41	9.4	9.41
9.41	9.41	9.4	9.41	9.4
9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.42	9.41
9.41	9.34	9.41	9.41	9.41
9.41	9.41	9.41	9.4	9.41
9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.42	9.39	9.41
9.42	9.41	9.41	9.41	9.39
9.41	9.41	9.41	9.41	9.42
9.41	9.41	9.41	9.41	9.37
9.42	9.41	9.42	9.41	9.41
9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.42	9.42
9.41	9.41	9.42	9.41	9.41
9.41	9.42	9.41	9.41	4.76
9.41	9.41	9.42	9.41	0.514
9.35	9.41	9.41	9.41	9.4
9.43	9.42	9.42	9.4	9.4
9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.4	9.41	9.41
9.41	9.42	9.41	9.4	9.41
9.4	9.41	9.42	9.41	9.41
9.42	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.4	9.41
9.41	9.41	9.41	9.42	9.41
9.41	9.38	9.41	9.41	9.4
9.41	9.42	9.41	9.42	9.41
9.41	9.42	9.42	9.4	9.42
9.42	9.41	9.41	9.42	9.41
9.41	9.42	9.4	9.41	0.199
9.4	9.42	9.41	9.41	5.0
9.41	9.41	9.41	9.42	9.39
9.42	9.41	9.41	9.41	9.38
9.41	9.42	9.42	9.41	8.17
9.41	9.41	9.41	9.42	0.0
9.41	9.41	9.41	9.41	6.47
9.42	9.41	9.41	9.42	9.41
9.41	9.42	9.41	9.42	9.4
9.37	9.41	9.42	9.41	9.4
9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.42	9.41
9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.42	9.41	5.33
9.42	9.41	9.4	9.41	7.64
9.41	9.41	9.4	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.39	9.38	9.4	9.39	9.38
9.41	9.41	9.41	9.39	9.4
9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.39
9.41	9.41	9.41	9.41	9.4
9.41	9.41	9.4	9.41	9.39
9.41	9.41	9.41	9.4	9.41
9.41	9.41	9.41	9.4	9.38
9.4	9.42	9.41	9.4	9.42
9.4	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.41	9.4
9.4	9.41	9.42	9.41	9.4
9.41	9.4	9.39	9.42	9.42
9.41	9.41	9.42	9.41	9.39
9.41	9.41	9.41	9.4	9.41
9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.4	9.41
9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.42
9.41	9.41	9.42	9.42	9.41
9.36	9.41	9.41	9.41	9.41
9.42	9.41	9.42	9.41	9.4
9.42	9.41	9.41	9.41	9.41
9.41	9.38	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.4
9.42	9.41	9.41	9.41	9.41
9.4	9.41	9.4	9.41	9.4
9.41	9.41	9.41	9.41	9.41
9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.42	9.42	9.41
9.41	9.42	9.41	9.41	9.41
9.4	9.41	9.41	9.4	9.41
9.41	9.41	9.42	9.41	9.42
9.4	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.41	9.41
9.42	9.4	9.41	9.42	9.42
9.41	9.38	9.41	9.41	9.42
9.41	9.41	9.42	9.42	9.41
9.42	9.41	9.42	9.41	9.4
9.37	9.4	9.41	9.41	9.41
9.38	9.42	9.4	9.41	9.41
9.4	9.41	9.42	9.38	9.41
9.38	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.41	9.41
9.41	9.4	9.41	9.41	0.283
9.4	9.42	9.41	9.41	4.71
9.41	9.42	9.41	9.42	9.39
9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.42	9.41	8.04
9.41	9.4	9.41	9.41	0.0
9.41	9.42	9.42	9.42	3.35
9.37	9.38	9.38	9.37	9.4
9.37	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.4	9.4
9.4	9.41	9.4	9.4	9.4
9.39	9.4	9.41	9.4	9.41
9.4	9.41	9.41	9.41	9.41
9.41	9.4	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.41	9.37
9.41	9.41	9.41	9.41	9.41
9.4	9.42	9.41	9.41	9.42
9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.42	9.41	9.41
9.41	9.41	9.42	9.41	9.41
9.4	9.4	9.42	9.4	9.42
9.41	9.41	9.41	9.4	9.41
9.4	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.42	9.42
9.41	9.42	9.42	9.41	9.41
9.42	9.41	9.41	9.42	9.35
9.36	9.41	9.41	9.41	9.41
9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.4
9.39	9.41	9.41	9.41	9.42
9.41	9.41	9.39	9.38	9.41
9.4	9.41	9.41	9.38	9.41
9.4	9.42	9.42	9.42	9.41
9.41	9.41	9.41	9.41	9.41
9.41	9.42	9.41	9.41	9.42
9.42	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.4
9.4	9.41	9.41	9.42	9.42
9.41	9.41	9.41	9.41	9.41
1.01	9.41	9.41	9.41	9.41
4.4	9.41	9.41	9.41	9.41
9.41	9.42	9.41	9.41	9.4
9.41	9.41	9.41	9.42	9.42
9.42	9.41	9.41	9.4	9.41
9.41	9.42	9.41	9.41	9.41
9.4	9.41	9.42	9.41	9.42
9.39	9.41	9.41	9.41	9.41
9.4	9.42	9.41	9.42	9.41
9.4	9.42	9.41	9.42	8.52
9.4	9.42	9.41	9.41	4.38
9.4	9.41	9.41	9.41	9.41
