Static	0 mrad/s	1 mrad/s	2.5 mrad/s	5 mrad/s	7 mrad/s
9.34	8.85	8.25	7.23	8.23	7.69
9.27	8.51	8.48	4.52	7.8	2.2
9.36	8.19	8.66	5.37	4.37	0.0
9.36	8.21	8.71	7.92	8.18	0.0
9.33	8.31	8.96	6.9	5.86	4.9
9.33	8.19	8.87	6.78	0.0	8.18
9.33	8.38	8.84	0.597	7.4	2.75
9.33	9.05	9.0	0.0	8.13	8.29
9.29	7.82	9.13	0.0	8.19	4.19
9.22	8.63	9.15	0.0	8.69	0.514
9.4	8.2	8.99	0.0	3.22	7.95
9.28	8.55	9.03	0.0	1.71	8.48
9.25	8.75	9.22	4.11	7.89	8.22
9.31	8.22	9.21	7.38	7.69	2.59
9.34	8.47	9.38	6.0	7.74	2.08
9.26	8.14	9.37	4.9	7.64	6.25
9.3	8.15	9.19	7.21	3.66	0.0
9.41	8.43	9.12	7.39	6.94	0.0
9.34	7.77	9.14	6.68	5.42	0.0
9.26	7.88	8.91	2.51	0.0	0.0
9.29	8.19	8.84	6.46	5.82	0.0
9.33	7.68	8.85	7.01	0.0	0.0
9.38	8.07	9.07	7.0	5.84	0.0
9.34	8.33	8.97	6.56	7.93	0.0
9.34	8.43	9.28	6.67	4.23	0.0
9.29	8.43	9.2	7.92	7.07	0.0
9.36	8.12	9.29	7.34	8.19	0.0
9.32	7.41	9.13	7.81	7.46	0.0
9.31	7.44	9.09	2.77	7.97	2.49
9.29	7.79	8.91	7.5	8.03	6.73
9.24	7.81	9.04	8.54	1.38	8.12
9.35	8.19	8.7	8.27	3.3	7.72
9.17	7.58	8.99	5.45	6.94	6.33
9.35	7.69	9.08	4.98	3.09	0.0
9.31	7.21	8.96	8.22	7.54	0.0
9.4	7.43	9.04	8.8	4.87	1.34
9.37	7.29	8.63	8.03	0.0	7.86
9.27	7.67	8.18	1.32	7.14	4.8
9.36	7.35	8.36	3.46	7.24	0.0
9.26	7.38	8.89	9.0	8.01	0.0
9.35	8.17	8.73	8.27	7.73	1.46
9.32	7.8	8.75	4.78	3.43	7.63
9.2	8.24	8.31	6.52	7.6	3.22
9.26	7.63	9.11	8.76	7.5	7.11
9.32	8.56	9.04	9.03	2.42	7.85
9.3	8.13	8.81	9.05	1.94	6.76
9.26	8.4	8.58	3.28	6.45	0.0
9.3	7.6	8.62	9.18	0.828	0.0
9.34	8.62	8.67	8.88	3.66	0.0
9.36	8.49	8.48	9.24	8.14	0.0
9.28	8.67	7.86	8.44	7.3	0.0
9.3	8.26	8.33	8.7	7.67	0.0
9.34	8.91	8.64	8.94	4.61	0.0
9.38	8.28	8.36	8.87	6.64	0.0
9.32	8.72	8.2	8.89	8.14	0.0
9.34	8.92	7.9	8.44	4.69	0.0
9.33	8.92	8.0	8.98	6.59	0.0
9.35	8.79	7.96	9.23	8.13	0.0
9.31	9.11	7.99	9.17	1.65	1.67
9.4	8.88	7.92	3.2	3.14	2.91
