PARAMS map_range=50 map_step=1
H_Delta V_Delta RSSI
-50 -50 85
-49 -50 79
-48 -50 110
-47 -50 121
-46 -50 127
-45 -50 141
-44 -50 153
-43 -50 167
-42 -50 217
-41 -50 219
-40 -50 257
-39 -50 315
-38 -50 334
-37 -50 371
-36 -50 443
-35 -50 490
-34 -50 519
-33 -50 538
-32 -50 611
-31 -50 690
-30 -50 763
-29 -50 810
-28 -50 910
-27 -50 958
-26 -50 997
-25 -50 968
-24 -50 1063
-23 -50 1106
-22 -50 1212
-21 -50 1248
-20 -50 1313
-19 -50 1488
-18 -50 1507
-17 -50 1633
-16 -50 1602
-15 -50 1788
-14 -50 1811
-13 -50 1788
-12 -50 1907
-11 -50 1957
-10 -50 1965
-9 -50 2041
-8 -50 2073
-7 -50 2147
-6 -50 2160
-5 -50 2176
-4 -50 2221
-3 -50 2117
-2 -50 2128
-1 -50 2158
0 -50 2109
1 -50 2098
2 -50 2115
3 -50 2034
4 -50 2090
5 -50 2204
6 -50 2226
7 -50 2254
8 -50 2322
9 -50 2347
10 -50 2300
11 -50 2318
12 -50 2186
13 -50 2176
14 -50 2195
15 -50 2197
16 -50 2120
17 -50 2139
18 -50 2109
19 -50 2034
20 -50 2073
21 -50 1919
22 -50 1934
23 -50 2005
24 -50 1936
25 -50 1849
26 -50 1843
27 -50 1864
28 -50 1837
29 -50 1742
30 -50 1649
31 -50 1565
32 -50 1542
33 -50 1540
34 -50 1439
35 -50 1417
36 -50 1344
37 -50 1253
38 -50 1183
39 -50 1153
40 -50 1082
41 -50 1012
42 -50 904
43 -50 834
44 -50 841
45 -50 758
46 -50 703
47 -50 651
48 -50 626
49 -50 581
50 -50 519
-50 -49 108
-49 -49 112
-48 -49 129
-47 -49 164
-46 -49 173
-45 -49 207
-44 -49 218
-43 -49 260
-42 -49 283
-41 -49 320
-40 -49 345
-39 -49 365
-38 -49 445
-37 -49 480
-36 -49 537
-35 -49 600
-34 -49 669
-33 -49 744
-32 -49 834
-31 -49 915
-30 -49 933
-29 -49 947
-28 -49 1027
-27 -49 1106
-26 -49 1141
-25 -49 1175
-24 -49 1205
-23 -49 1313
-22 -49 1381
-21 -49 1329
-20 -49 1415
-19 -49 1527
-18 -49 1573
-17 -49 1623
-16 -49 1598
-15 -49 1688
-14 -49 1754
-13 -49 1841
-12 -49 1907
-11 -49 1921
-10 -49 1934
-9 -49 2030
-8 -49 2009
-7 -49 2036
-6 -49 2036
-5 -49 2115
-4 -49 2085
-3 -49 2191
-2 -49 2160
-1 -49 2176
0 -49 2228
1 -49 2158
2 -49 2228
3 -49 2267
4 -49 2313
5 -49 2195
6 -49 2274
7 -49 2311
8 -49 2274
9 -49 2263
10 -49 2318
11 -49 2245
12 -49 2250
13 -49 2254
14 -49 2232
15 -49 2267
16 -49 2163
17 -49 2111
18 -49 2056
19 -49 1988
20 -49 1973
21 -49 1946
22 -49 1926
23 -49 1921
24 -49 1919
25 -49 1823
26 -49 1756
27 -49 1756
28 -49 1667
29 -49 1612
30 -49 1623
31 -49 1509
32 -49 1456
33 -49 1428
34 -49 1390
35 -49 1350
36 -49 1246
37 -49 1180
38 -49 1091
39 -49 1060
40 -49 1051
41 -49 955
42 -49 922
43 -49 842
44 -49 790
45 -49 763
46 -49 692
47 -49 663
48 -49 606
49 -49 535
50 -49 470
-50 -48 127
-49 -48 131
-48 -48 153
-47 -48 172
-46 -48 174
-45 -48 198
-44 -48 217
-43 -48 236
-42 -48 271
-41 -48 283
-40 -48 292
-39 -48 361
-38 -48 383
-37 -48 483
-36 -48 522
-35 -48 612
-34 -48 683
-33 -48 766
-32 -48 845
-31 -48 842
-30 -48 876
-29 -48 1002
-28 -48 1073
-27 -48 1134
-26 -48 1212
-25 -48 1232
-24 -48 1344
-23 -48 1430
-22 -48 1452
-21 -48 1507
-20 -48 1579
-19 -48 1663
-18 -48 1696
-17 -48 1734
-16 -48 1809
-15 -48 1915
-14 -48 1936
-13 -48 1953
-12 -48 1990
-11 -48 2041
-10 -48 2117
-9 -48 2137
-8 -48 2206
-7 -48 2156
-6 -48 2226
-5 -48 2267
-4 -48 2362
-3 -48 2313
-2 -48 2403
-1 -48 2376
0 -48 2342
1 -48 2414
2 -48 2405
3 -48 2479
4 -48 2459
5 -48 2482
6 -48 2441
7 -48 2450
8 -48 2412
9 -48 2448
10 -48 2423
11 -48 2432
12 -48 2412
13 -48 2425
14 -48 2412
15 -48 2371
16 -48 2347
17 -48 2272
18 -48 2294
19 -48 2322
20 -48 2215
21 -48 2316
22 -48 2202
23 -48 2245
24 -48 2145
25 -48 2100
26 -48 2045
27 -48 1976
28 -48 1882
29 -48 1874
30 -48 1803
31 -48 1726
32 -48 1714
33 -48 1665
34 -48 1592
35 -48 1519
36 -48 1502
37 -48 1462
38 -48 1355
39 -48 1259
40 -48 1143
41 -48 1198
42 -48 1115
43 -48 1027
44 -48 977
45 -48 879
46 -48 813
47 -48 771
48 -48 704
49 -48 659
50 -48 574
-50 -47 141
-49 -47 165
-48 -47 174
-47 -47 216
-46 -47 218
-45 -47 252
-44 -47 296
-43 -47 315
-42 -47 341
-41 -47 378
-40 -47 430
-39 -47 469
-38 -47 508
-37 -47 561
-36 -47 657
-35 -47 698
-34 -47 733
-33 -47 874
-32 -47 858
-31 -47 968
-30 -47 1060
-29 -47 1129
-28 -47 1226
-27 -47 1282
-26 -47 1331
-25 -47 1458
-24 -47 1483
-23 -47 1473
-22 -47 1553
-21 -47 1633
-20 -47 1680
-19 -47 1866
-18 -47 1874
-17 -47 1934
-16 -47 2085
-15 -47 2066
