PARAMS map_range=60 map_step=1
H_Delta V_Delta RSSI
-60 -60 1
-60 -59 1
-60 -58 11
-60 -57 11
-60 -56 13
-60 -55 22
-60 -54 22
-60 -53 20
-60 -52 22
-60 -51 24
-60 -50 24
-60 -49 30
-60 -48 37
-60 -47 43
-60 -46 54
-60 -45 70
-60 -44 75
-60 -43 99
-60 -42 103
-60 -41 135
-60 -40 117
-60 -39 147
-60 -38 141
-60 -37 144
-60 -36 181
-60 -35 204
-60 -34 229
-60 -33 233
-60 -32 246
-60 -31 325
-60 -30 336
-60 -29 367
-60 -28 388
-60 -27 487
-60 -26 461
-60 -25 488
-60 -24 534
-60 -23 570
-60 -22 612
-60 -21 690
-60 -20 692
-60 -19 716
-60 -18 763
-60 -17 815
-60 -16 858
-60 -15 862
-60 -14 865
-60 -13 917
-60 -12 960
-60 -11 902
-60 -10 924
-60 -9 958
-60 -8 1032
-60 -7 965
-60 -6 942
-60 -5 925
-60 -4 968
-60 -3 985
-60 -2 1036
-60 -1 1029
-60 0 990
-60 1 1015
-60 2 915
-60 3 919
-60 4 937
-60 5 905
-60 6 902
-60 7 879
-60 8 914
-60 9 915
-60 10 905
-60 11 945
-60 12 855
-60 13 871
-60 14 805
-60 15 741
-60 16 712
-60 17 635
-60 18 605
-60 19 518
-60 20 507
-60 21 473
-60 22 425
-60 23 418
-60 24 341
-60 25 293
-60 26 265
-60 27 266
-60 28 220
-60 29 174
-60 30 166
-60 31 162
-60 32 150
-60 33 136
-60 34 121
-60 35 107
-60 36 96
-60 37 81
-60 38 79
-60 39 67
-60 40 62
-60 41 64
-60 42 51
-60 43 54
-60 44 45
-60 45 41
-60 46 35
-60 47 27
-60 48 27
-60 49 25
-60 50 21
-60 51 20
-60 52 18
-60 53 16
-60 54 14
-60 55 11
-60 56 12
-60 57 12
-60 58 10
-60 59 10
-60 60 1
-59 -60 1
-59 -59 10
-59 -58 10
-59 -57 11
-59 -56 13
-59 -55 14
-59 -54 16
-59 -53 20
-59 -52 23
-59 -51 25
-59 -50 30
-59 -49 36
-59 -48 41
-59 -47 49
-59 -46 46
-59 -45 47
-59 -44 61
-59 -43 79
-59 -42 111
-59 -41 162
-59 -40 195
-59 -39 147
-59 -38 122
-59 -37 125
-59 -36 143
-59 -35 159
-59 -34 188
-59 -33 219
-59 -32 278
-59 -31 351
-59 -30 387
-59 -29 415
-59 -28 402
-59 -27 519
-59 -26 458
-59 -25 500
-59 -24 515
-59 -23 592
-59 -22 648
-59 -21 738
-59 -20 726
-59 -19 833
-59 -18 723
-59 -17 780
-59 -16 828
-59 -15 932
-59 -14 990
-59 -13 909
-59 -12 1032
-59 -11 1053
-59 -10 1191
-59 -9 1180
-59 -8 1087
-59 -7 963
-59 -6 927
-59 -5 953
-59 -4 980
-59 -3 1168
-59 -2 1240
-59 -1 1191
-59 0 1284
-59 1 1264
-59 2 1260
-59 3 1251
-59 4 1253
-59 5 1300
-59 6 1230
-59 7 1091
-59 8 876
-59 9 945
-59 10 968
-59 11 896
-59 12 928
-59 13 915
-59 14 871
-59 15 769
-59 16 766
-59 17 752
-59 18 681
-59 19 648
-59 20 630
-59 21 608
-59 22 535
-59 23 518
-59 24 480
-59 25 372
-59 26 344
-59 27 341
-59 28 310
-59 29 296
-59 30 263
-59 31 229
-59 32 188
-59 33 179
-59 34 164
-59 35 158
-59 36 122
-59 37 101
-59 38 93
-59 39 77
-59 40 81
-59 41 80
-59 42 59
-59 43 51
-59 44 46
-59 45 42
-59 46 45
-59 47 40
-59 48 37
-59 49 30
-59 50 24
-59 51 23
-59 52 20
-59 53 20
-59 54 16
-59 55 1
-59 56 11
-59 57 13
-59 58 13
-59 59 11
-59 60 12
-58 -60 11
-58 -59 12
-58 -58 12
-58 -57 14
-58 -56 15
-58 -55 17
-58 -54 21
-58 -53 30
-58 -52 42
-58 -51 40
-58 -50 46
-58 -49 49
-58 -48 60
-58 -47 66
-58 -46 81
-58 -45 108
-58 -44 111
-58 -43 149
-58 -42 173
-58 -41 187
-58 -40 179
-58 -39 176
-58 -38 208
-58 -37 240
-58 -36 296
-58 -35 329
-58 -34 395
-58 -33 403
-58 -32 467
-58 -31 529
-58 -30 564
-58 -29 587
-58 -28 650
-58 -27 650
-58 -26 718
-58 -25 785
-58 -24 933
-58 -23 1073
-58 -22 1094
-58 -21 1044
-58 -20 1141
-58 -19 1260
-58 -18 1183
-58 -17 1280
-58 -16 1445
-58 -15 1445
-58 -14 1496
-58 -13 1471
-58 -12 1553
-58 -11 1505
-58 -10 1582
-58 -9 1606
-58 -8 1674
-58 -7 1651
-58 -6 1678
-58 -5 1868
-58 -4 1880
-58 -3 1839
-58 -2 1825
-58 -1 1837
-58 0 1710
-58 1 1561
-58 2 1623
-58 3 1617
-58 4 1471
-58 5 1592
-58 6 1573
-58 7 1643
-58 8 1567
-58 9 1563
-58 10 1435
-58 11 1498
-58 12 1333
-58 13 1295
-58 14 1284
-58 15 1103
-58 16 993
-58 17 983
-58 18 983
-58 19 968
-58 20 945
-58 21 849
-58 22 760
-58 23 693
-58 24 665
-58 25 583
-58 26 555
-58 27 498
-58 28 403
-58 29 387
-58 30 340
-58 31 307
-58 32 278
-58 33 246
-58 34 193
-58 35 188
-58 36 159
-58 37 158
-58 38 126
-58 39 129
-58 40 106
-58 41 108
-58 42 83
-58 43 70
-58 44 71
-58 45 60
-58 46 45
-58 47 48
-58 48 45
-58 49 40
-58 50 35
-58 51 32
-58 52 26
-58 53 23
-58 54 20
-58 55 18
-58 56 18
-58 57 14
-58 58 16
-58 59 14
-58 60 11
-57 -60 14
-57 -59 13
-57 -58 17
-57 -57 18
-57 -56 18
-57 -55 21
-57 -54 26
-57 -53 33
-57 -52 41
-57 -51 48
-57 -50 61
-57 -49 67
-57 -48 78
-57 -47 107
-57 -46 125
-57 -45 168
-57 -44 213
-57 -43 219
-57 -42 225
-57 -41 255
-57 -40 293
-57 -39 310
-57 -38 382
-57 -37 350
-57 -36 375
-57 -35 378
-57 -34 398
-57 -33 441
-57 -32 550
-57 -31 647
-57 -30 735
-57 -29 750
-57 -28 727
-57 -27 820
-57 -26 901
-57 -25 919
