PARAMS map_range=60 map_step=1
H_Delta V_Delta RSSI
-60 -60 1
-59 -60 10
-58 -60 11
-57 -60 14
-56 -60 15
-55 -60 15
-54 -60 20
-53 -60 22
-52 -60 29
-51 -60 36
-50 -60 45
-49 -60 59
-48 -60 45
-47 -60 67
-46 -60 70
-45 -60 87
-44 -60 131
-43 -60 179
-42 -60 181
-41 -60 212
-40 -60 290
-39 -60 383
-38 -60 501
-37 -60 620
-36 -60 700
-35 -60 757
-34 -60 805
-33 -60 899
-32 -60 1037
-31 -60 1189
-30 -60 1364
-29 -60 1424
-28 -60 1567
-27 -60 1969
-26 -60 2003
-25 -60 2081
-24 -60 2345
-23 -60 2252
-22 -60 2491
-21 -60 2692
-20 -60 2641
-19 -60 2856
-18 -60 2984
-17 -60 2999
-16 -60 3085
-15 -60 3221
-14 -60 3271
-13 -60 3589
-12 -60 3533
-11 -60 3706
-10 -60 4442
-9 -60 4028
-8 -60 3733
-7 -60 3666
-6 -60 3517
-5 -60 3818
-4 -60 3828
-3 -60 4053
-2 -60 4147
-1 -60 4241
0 -60 4184
1 -60 4198
2 -60 4284
3 -60 4253
4 -60 4003
5 -60 3969
6 -60 4101
7 -60 3886
8 -60 3818
9 -60 3755
10 -60 3807
11 -60 3709
12 -60 3666
13 -60 3839
14 -60 4169
15 -60 3504
16 -60 3449
17 -60 3415
18 -60 3302
19 -60 3266
20 -60 3058
21 -60 2775
22 -60 2634
23 -60 2560
24 -60 2445
25 -60 2398
26 -60 2378
27 -60 2150
28 -60 1971
29 -60 1843
30 -60 1823
31 -60 2081
32 -60 1756
33 -60 1525
34 -60 1313
35 -60 1264
36 -60 1183
37 -60 1106
38 -60 999
39 -60 833
40 -60 779
41 -60 736
42 -60 681
43 -60 813
44 -60 577
45 -60 490
46 -60 542
47 -60 465
48 -60 331
49 -60 258
50 -60 228
51 -60 214
52 -60 142
53 -60 152
54 -60 126
55 -60 89
56 -60 73
57 -60 72
58 -60 59
59 -60 55
60 -60 36
-60 -59 10
-59 -59 13
-58 -59 11
-57 -59 17
-56 -59 24
-55 -59 32
-54 -59 33
-53 -59 45
-52 -59 49
-51 -59 81
-50 -59 79
-49 -59 67
-48 -59 71
-47 -59 99
-46 -59 258
-45 -59 241
-44 -59 234
-43 -59 261
-42 -59 283
-41 -59 407
-40 -59 548
-39 -59 653
-38 -59 703
-37 -59 659
-36 -59 866
-35 -59 988
-34 -59 947
-33 -59 1101
-32 -59 1214
-31 -59 1357
-30 -59 1553
-29 -59 1886
-28 -59 1961
-27 -59 2030
-26 -59 2223
-25 -59 2436
-24 -59 2648
-23 -59 2423
-22 -59 2822
-21 -59 2841
-20 -59 3397
-19 -59 3359
-18 -59 3346
-17 -59 3053
-16 -59 3140
-15 -59 3203
-14 -59 3421
-13 -59 3382
-12 -59 3310
-11 -59 3402
-10 -59 3499
-9 -59 3457
-8 -59 3933
-7 -59 4363
-6 -59 4307
-5 -59 4522
-4 -59 4475
-3 -59 4144
-2 -59 4127
-1 -59 4149
0 -59 4337
1 -59 4398
2 -59 4495
3 -59 4392
4 -59 4483
5 -59 4651
6 -59 4454
7 -59 4398
8 -59 4175
9 -59 4331
10 -59 4127
11 -59 4195
12 -59 4149
13 -59 4178
14 -59 3663
15 -59 3504
16 -59 3481
17 -59 4398
18 -59 3589
19 -59 3457
20 -59 3418
21 -59 3213
22 -59 3098
23 -59 2770
24 -59 2763
25 -59 3565
26 -59 2673
27 -59 2601
28 -59 2555
29 -59 2206
30 -59 1930
31 -59 1973
32 -59 1784
33 -59 1776
34 -59 1496
35 -59 1452
36 -59 1339
37 -59 1315
38 -59 1183
39 -59 1012
40 -59 1034
41 -59 922
42 -59 817
43 -59 746
44 -59 632
45 -59 521
46 -59 455
47 -59 384
48 -59 357
49 -59 306
50 -59 245
51 -59 241
52 -59 162
53 -59 146
54 -59 110
55 -59 105
56 -59 102
57 -59 68
58 -59 52
59 -59 44
60 -59 30
-60 -58 12
-59 -58 15
-58 -58 19
-57 -58 18
-56 -58 22
-55 -58 30
-54 -58 57
-53 -58 66
-52 -58 75
-51 -58 98
-50 -58 150
-49 -58 208
-48 -58 206
-47 -58 309
-46 -58 305
-45 -58 349
-44 -58 355
-43 -58 399
-42 -58 465
-41 -58 507
-40 -58 580
-39 -58 620
-38 -58 608
-37 -58 775
-36 -58 940
-35 -58 1155
-34 -58 1355
-33 -58 1706
-32 -58 1919
-31 -58 2007
-30 -58 2056
-29 -58 2120
-28 -58 2223
-27 -58 2333
-26 -58 2455
-25 -58 2775
-24 -58 3002
-23 -58 3163
-22 -58 3244
-21 -58 3241
-20 -58 3384
-19 -58 3507
-18 -58 3541
-17 -58 3559
-16 -58 3717
-15 -58 3650
-14 -58 3687
-13 -58 3755
-12 -58 4366
-11 -58 4342
-10 -58 4124
-9 -58 4132
-8 -58 4192
-7 -58 4250
-6 -58 4135
-5 -58 4657
-4 -58 4558
-3 -58 4831
-2 -58 4660
-1 -58 4597
0 -58 5578
1 -58 5018
2 -58 5088
3 -58 4841
4 -58 4675
5 -58 4413
6 -58 4669
7 -58 4736
8 -58 5310
9 -58 4627
10 -58 4624
11 -58 4337
12 -58 4510
13 -58 4609
14 -58 4050
15 -58 4331
16 -58 3804
17 -58 3310
18 -58 3467
19 -58 3244
20 -58 3387
21 -58 3408
22 -58 3138
23 -58 3004
24 -58 3009
25 -58 2615
26 -58 2627
27 -58 2627
28 -58 2387
29 -58 2215
30 -58 1996
31 -58 1946
32 -58 1895
33 -58 1980
34 -58 1573
35 -58 1617
36 -58 1519
37 -58 1404
38 -58 1335
39 -58 1297
40 -58 1230
41 -58 1226
42 -58 962
43 -58 858
44 -58 793
45 -58 760
46 -58 593
47 -58 550
48 -58 552
49 -58 479
50 -58 433
51 -58 334
52 -58 251
53 -58 220
54 -58 255
55 -58 204
56 -58 130
57 -58 99
58 -58 74
59 -58 54
60 -58 46
-60 -57 11
-59 -57 12
-58 -57 17
-57 -57 19
-56 -57 26
-55 -57 44
-54 -57 76
-53 -57 237
-52 -57 168
-51 -57 187
-50 -57 206
-49 -57 193
-48 -57 239
-47 -57 270
-46 -57 369
