PARAMS map_range=250 map_step=5
H_Delta V_Delta RSSI
-250 -250 1
-250 -245 1
-250 -240 1
-250 -235 1
-250 -230 1
-250 -225 1
-250 -220 1
-250 -215 1
-250 -210 1
-250 -205 1
-250 -200 1
-250 -195 1
-250 -190 1
-250 -185 1
-250 -180 1
-250 -175 1
-250 -170 1
-250 -165 1
-250 -160 1
-250 -155 1
-250 -150 1
-250 -145 1
-250 -140 1
-250 -135 1
-250 -130 1
-250 -125 1
-250 -120 1
-250 -115 1
-250 -110 1
-250 -105 1
-250 -100 1
-250 -95 1
-250 -90 1
-250 -85 1
-250 -80 1
-250 -75 1
-250 -70 1
-250 -65 1
-250 -60 1
-250 -55 1
-250 -50 1
-250 -45 1
-250 -40 1
-250 -35 1
-250 -30 1
-250 -25 1
-250 -20 1
-250 -15 1
-250 -10 1
-250 -5 1
-250 0 1
-250 5 1
-250 10 1
-250 15 1
-250 20 1
-250 25 1
-250 30 1
-250 35 1
-250 40 1
-250 45 1
-250 50 1
-250 55 1
-250 60 1
-250 65 1
-250 70 1
-250 75 1
-250 80 1
-250 85 1
-250 90 1
-250 95 1
-250 100 1
-250 105 1
-250 110 1
-250 115 1
-250 120 1
-250 125 1
-250 130 1
-250 135 1
-250 140 1
-250 145 1
-250 150 1
-250 155 1
-250 160 1
-250 165 1
-250 170 1
-250 175 1
-250 180 1
-250 185 1
-250 190 1
-250 195 1
-250 200 1
-250 205 1
-250 210 1
-250 215 1
-250 220 1
-250 225 1
-250 230 1
-250 235 1
-250 240 1
-250 245 1
-250 250 1
-245 -250 1
-245 -245 1
-245 -240 1
-245 -235 1
-245 -230 1
-245 -225 1
-245 -220 1
-245 -215 1
-245 -210 1
-245 -205 1
-245 -200 1
-245 -195 1
-245 -190 1
-245 -185 1
-245 -180 1
-245 -175 1
-245 -170 1
-245 -165 1
-245 -160 1
-245 -155 1
-245 -150 1
-245 -145 1
-245 -140 1
-245 -135 1
-245 -130 1
-245 -125 1
-245 -120 1
-245 -115 1
-245 -110 1
-245 -105 1
-245 -100 1
-245 -95 1
-245 -90 1
-245 -85 1
-245 -80 1
-245 -75 1
-245 -70 1
-245 -65 1
-245 -60 1
-245 -55 1
-245 -50 1
-245 -45 1
-245 -40 1
-245 -35 1
-245 -30 1
-245 -25 1
-245 -20 1
-245 -15 1
-245 -10 1
-245 -5 1
-245 0 1
-245 5 1
-245 10 1
-245 15 1
-245 20 1
-245 25 1
-245 30 1
-245 35 1
-245 40 1
-245 45 1
-245 50 1
-245 55 1
-245 60 1
-245 65 1
-245 70 1
-245 75 1
-245 80 1
-245 85 1
-245 90 1
-245 95 1
-245 100 1
-245 105 1
-245 110 1
-245 115 1
-245 120 1
-245 125 1
-245 130 1
-245 135 1
-245 140 1
-245 145 1
-245 150 1
-245 155 1
-245 160 1
-245 165 1
-245 170 1
-245 175 1
-245 180 1
-245 185 1
-245 190 1
-245 195 1
-245 200 1
-245 205 1
-245 210 1
-245 215 1
-245 220 1
-245 225 1
-245 230 1
-245 235 1
-245 240 1
-245 245 1
-245 250 1
-240 -250 1
-240 -245 1
-240 -240 1
-240 -235 1
-240 -230 1
-240 -225 1
-240 -220 1
-240 -215 1
-240 -210 1
-240 -205 1
-240 -200 1
-240 -195 1
-240 -190 1
-240 -185 1
-240 -180 1
-240 -175 1
-240 -170 1
-240 -165 1
-240 -160 1
-240 -155 1
-240 -150 1
-240 -145 1
-240 -140 1
-240 -135 1
-240 -130 1
-240 -125 1
-240 -120 1
-240 -115 1
-240 -110 1
-240 -105 1
-240 -100 1
-240 -95 1
-240 -90 1
-240 -85 1
-240 -80 1
-240 -75 1
-240 -70 1
-240 -65 1
-240 -60 1
-240 -55 1
-240 -50 1
-240 -45 1
-240 -40 1
-240 -35 1
-240 -30 1
-240 -25 1
-240 -20 1
-240 -15 1
-240 -10 1
-240 -5 1
-240 0 1
-240 5 1
-240 10 1
-240 15 1
-240 20 1
-240 25 1
-240 30 1
-240 35 1
-240 40 1
-240 45 1
-240 50 1
-240 55 1
-240 60 1
-240 65 1
-240 70 1
-240 75 1
-240 80 1
-240 85 1
-240 90 1
-240 95 1
-240 100 1
-240 105 1
-240 110 1
-240 115 1
-240 120 1
-240 125 1
-240 130 1
-240 135 1
-240 140 1
-240 145 1
-240 150 1
-240 155 1
-240 160 1
-240 165 1
-240 170 1
-240 175 1
-240 180 1
-240 185 1
-240 190 1
-240 195 1
-240 200 1
-240 205 1
-240 210 1
-240 215 1
-240 220 1
-240 225 1
-240 230 1
-240 235 1
-240 240 1
-240 245 1
-240 250 1
-235 -250 1
-235 -245 1
-235 -240 1
-235 -235 1
-235 -230 1
-235 -225 1
-235 -220 1
-235 -215 1
-235 -210 1
-235 -205 1
-235 -200 1
-235 -195 1
-235 -190 1
-235 -185 1
-235 -180 1
-235 -175 1
-235 -170 1
-235 -165 1
-235 -160 1
-235 -155 1
-235 -150 1
-235 -145 1
-235 -140 1
-235 -135 1
-235 -130 1
-235 -125 1
-235 -120 1
-235 -115 1
-235 -110 1
-235 -105 1
-235 -100 1
-235 -95 1
-235 -90 1
-235 -85 1
-235 -80 1
-235 -75 1
-235 -70 1
-235 -65 1
-235 -60 1
-235 -55 1
-235 -50 1
-235 -45 1
-235 -40 1
-235 -35 1
-235 -30 1
-235 -25 1
-235 -20 1
-235 -15 1
-235 -10 1
-235 -5 1
-235 0 1
-235 5 1
-235 10 1
-235 15 1
-235 20 1
-235 25 1
-235 30 1
-235 35 1
-235 40 1
-235 45 1
-235 50 1
-235 55 1
-235 60 1
-235 65 1
-235 70 1
-235 75 1
-235 80 1
-235 85 1
-235 90 1
-235 95 1
-235 100 1
-235 105 1
-235 110 1
-235 115 1
-235 120 1
-235 125 1
-235 130 1
-235 135 1
-235 140 1
-235 145 1
-235 150 1
-235 155 1
-235 160 1
-235 165 1
-235 170 1
-235 175 1
-235 180 1
-235 185 1
-235 190 1
-235 195 1
-235 200 1
-235 205 1
-235 210 1
-235 215 1
-235 220 1
-235 225 1
-235 230 1
-235 235 1
-235 240 1
-235 245 1
-235 250 1
-230 -250 1
-230 -245 1
-230 -240 1
-230 -235 1
-230 -230 1
-230 -225 1
-230 -220 1
-230 -215 1
-230 -210 1
-230 -205 1
-230 -200 1
-230 -195 1
-230 -190 1
-230 -185 1
-230 -180 1
-230 -175 1
-230 -170 1
-230 -165 1
-230 -160 1
-230 -155 1
-230 -150 1
-230 -145 1
-230 -140 1
-230 -135 1
-230 -130 1
-230 -125 1
-230 -120 1
-230 -115 1
-230 -110 1
-230 -105 1
-230 -100 1
-230 -95 1
-230 -90 1
-230 -85 1
-230 -80 1
-230 -75 1
