PARAMS map_range=100 map_step=1
H_Delta V_Delta RSSI
-100 -100 0.01
-100 -99 0.01
-100 -98 0.01
-100 -97 0.02
-100 -96 0.02
-100 -95 0.02
-100 -94 0.02
-100 -93 0.03
-100 -92 0.03
-100 -91 0.03
-100 -90 0.04
-100 -89 0.04
-100 -88 0.05
-100 -87 0.05
-100 -86 0.06
-100 -85 0.07
-100 -84 0.08
-100 -83 0.09
-100 -82 0.1
-100 -81 0.11
-100 -80 0.12
-100 -79 0.13
-100 -78 0.15
-100 -77 0.17
-100 -76 0.19
-100 -75 0.21
-100 -74 0.23
-100 -73 0.25
-100 -72 0.28
-100 -71 0.31
-100 -70 0.34
-100 -69 0.37
-100 -68 0.41
-100 -67 0.45
-100 -66 0.49
-100 -65 0.54
-100 -64 0.59
-100 -63 0.64
-100 -62 0.7
-100 -61 0.77
-100 -60 0.83
-100 -59 0.9
-100 -58 0.98
-100 -57 1.06
-100 -56 1.15
-100 -55 1.24
-100 -54 1.33
-100 -53 1.44
-100 -52 1.54
-100 -51 1.66
-100 -50 1.78
-100 -49 1.9
-100 -48 2.04
-100 -47 2.17
-100 -46 2.32
-100 -45 2.47
-100 -44 2.63
-100 -43 2.79
-100 -42 2.96
-100 -41 3.13
-100 -40 3.31
-100 -39 3.5
-100 -38 3.69
-100 -37 3.88
-100 -36 4.09
-100 -35 4.29
-100 -34 4.5
-100 -33 4.71
-100 -32 4.93
-100 -31 5.15
-100 -30 5.37
-100 -29 5.59
-100 -28 5.82
-100 -27 6.04
-100 -26 6.27
-100 -25 6.49
-100 -24 6.72
-100 -23 6.94
-100 -22 7.16
-100 -21 7.37
-100 -20 7.59
-100 -19 7.79
-100 -18 7.99
-100 -17 8.19
-100 -16 8.38
-100 -15 8.56
-100 -14 8.73
-100 -13 8.9
-100 -12 9.05
-100 -11 9.2
-100 -10 9.33
-100 -9 9.46
-100 -8 9.57
-100 -7 9.67
-100 -6 9.75
-100 -5 9.83
-100 -4 9.89
-100 -3 9.94
-100 -2 9.97
-100 -1 9.99
-100 0 10
-100 1 9.99
-100 2 9.97
-100 3 9.94
-100 4 9.89
-100 5 9.83
-100 6 9.75
-100 7 9.67
-100 8 9.57
-100 9 9.46
-100 10 9.33
-100 11 9.2
-100 12 9.05
-100 13 8.9
-100 14 8.73
-100 15 8.56
-100 16 8.38
-100 17 8.19
-100 18 7.99
-100 19 7.79
-100 20 7.59
-100 21 7.37
-100 22 7.16
-100 23 6.94
-100 24 6.72
-100 25 6.49
-100 26 6.27
-100 27 6.04
-100 28 5.82
-100 29 5.59
-100 30 5.37
-100 31 5.15
-100 32 4.93
-100 33 4.71
-100 34 4.5
-100 35 4.29
-100 36 4.09
-100 37 3.88
-100 38 3.69
-100 39 3.5
-100 40 3.31
-100 41 3.13
-100 42 2.96
-100 43 2.79
-100 44 2.63
-100 45 2.47
-100 46 2.32
-100 47 2.17
-100 48 2.04
-100 49 1.9
-100 50 1.78
-100 51 1.66
-100 52 1.54
-100 53 1.44
-100 54 1.33
-100 55 1.24
-100 56 1.15
-100 57 1.06
-100 58 0.98
-100 59 0.9
-100 60 0.83
-100 61 0.77
-100 62 0.7
-100 63 0.64
-100 64 0.59
-100 65 0.54
-100 66 0.49
-100 67 0.45
-100 68 0.41
-100 69 0.37
-100 70 0.34
-100 71 0.31
-100 72 0.28
-100 73 0.25
-100 74 0.23
-100 75 0.21
-100 76 0.19
-100 77 0.17
-100 78 0.15
-100 79 0.13
-100 80 0.12
-100 81 0.11
-100 82 0.1
-100 83 0.09
-100 84 0.08
-100 85 0.07
-100 86 0.06
-100 87 0.05
-100 88 0.05
-100 89 0.04
-100 90 0.04
-100 91 0.03
-100 92 0.03
-100 93 0.03
-100 94 0.02
-100 95 0.02
-100 96 0.02
-100 97 0.02
-100 98 0.01
-100 99 0.01
-100 100 0.01
-99 -100 0.01
-99 -99 0.01
-99 -98 0.02
-99 -97 0.02
-99 -96 0.02
-99 -95 0.02
-99 -94 0.03
-99 -93 0.03
-99 -92 0.03
-99 -91 0.04
-99 -90 0.04
-99 -89 0.05
-99 -88 0.05
-99 -87 0.06
-99 -86 0.07
-99 -85 0.08
-99 -84 0.09
-99 -83 0.1
-99 -82 0.11
-99 -81 0.12
-99 -80 0.14
-99 -79 0.15
-99 -78 0.17
-99 -77 0.19
-99 -76 0.21
-99 -75 0.24
-99 -74 0.26
-99 -73 0.29
-99 -72 0.32
-99 -71 0.35
-99 -70 0.39
-99 -69 0.43
-99 -68 0.47
-99 -67 0.52
-99 -66 0.57
-99 -65 0.62
-99 -64 0.68
-99 -63 0.74
-99 -62 0.81
-99 -61 0.88
-99 -60 0.95
-99 -59 1.04
-99 -58 1.12
-99 -57 1.22
-99 -56 1.31
-99 -55 1.42
-99 -54 1.53
-99 -53 1.65
-99 -52 1.77
-99 -51 1.9
-99 -50 2.04
-99 -49 2.18
-99 -48 2.34
-99 -47 2.49
-99 -46 2.66
-99 -45 2.83
-99 -44 3.01
-99 -43 3.2
-99 -42 3.39
-99 -41 3.59
-99 -40 3.8
-99 -39 4.01
-99 -38 4.23
-99 -37 4.46
-99 -36 4.69
-99 -35 4.92
-99 -34 5.16
-99 -33 5.41
-99 -32 5.66
-99 -31 5.91
-99 -30 6.16
-99 -29 6.42
-99 -28 6.68
-99 -27 6.93
-99 -26 7.19
-99 -25 7.45
-99 -24 7.71
-99 -23 7.96
-99 -22 8.21
-99 -21 8.46
-99 -20 8.7
-99 -19 8.94
-99 -18 9.17
-99 -17 9.4
-99 -16 9.61
-99 -15 9.82
-99 -14 10.02
-99 -13 10.21
-99 -12 10.39
-99 -11 10.55
-99 -10 10.71
-99 -9 10.85
-99 -8 10.98
-99 -7 11.09
-99 -6 11.19
-99 -5 11.28
-99 -4 11.35
-99 -3 11.4
-99 -2 11.44
-99 -1 11.47
-99 0 11.47
-99 1 11.47
-99 2 11.44
-99 3 11.4
-99 4 11.35
-99 5 11.28
-99 6 11.19
-99 7 11.09
-99 8 10.98
-99 9 10.85
-99 10 10.71
-99 11 10.55
-99 12 10.39
-99 13 10.21
-99 14 10.02
-99 15 9.82
-99 16 9.61
-99 17 9.4
-99 18 9.17
-99 19 8.94
-99 20 8.7
-99 21 8.46
-99 22 8.21
-99 23 7.96
-99 24 7.71
-99 25 7.45
-99 26 7.19
-99 27 6.93
-99 28 6.68
-99 29 6.42
-99 30 6.16
-99 31 5.91
-99 32 5.66
-99 33 5.41
-99 34 5.16
-99 35 4.92
-99 36 4.69
-99 37 4.46
-99 38 4.23
-99 39 4.01
-99 40 3.8
-99 41 3.59
-99 42 3.39
-99 43 3.2
-99 44 3.01
-99 45 2.83
-99 46 2.66
-99 47 2.49
-99 48 2.34
-99 49 2.18
-99 50 2.04
-99 51 1.9
-99 52 1.77
-99 53 1.65
-99 54 1.53
-99 55 1.42
-99 56 1.31
-99 57 1.22
-99 58 1.12
-99 59 1.04
-99 60 0.95
-99 61 0.88
-99 62 0.81
-99 63 0.74
-99 64 0.68
-99 65 0.62
-99 66 0.57
-99 67 0.52
-99 68 0.47
-99 69 0.43
-99 70 0.39
-99 71 0.35
-99 72 0.32
-99 73 0.29
-99 74 0.26
-99 75 0.24
-99 76 0.21
-99 77 0.19
-99 78 0.17
-99 79 0.15
-99 80 0.14
-99 81 0.12
-99 82 0.11
-99 83 0.1
-99 84 0.09
-99 85 0.08
-99 86 0.07
-99 87 0.06
-99 88 0.05
-99 89 0.05
-99 90 0.04
-99 91 0.04
-99 92 0.03
-99 93 0.03
-99 94 0.03
-99 95 0.02
-99 96 0.02
-99 97 0.02
-99 98 0.02
-99 99 0.01
-99 100 0.01
-98 -100 0.01
-98 -99 0.02
-98 -98 0.02
-98 -97 0.02
-98 -96 0.02
-98 -95 0.03
-98 -94 0.03
-98 -93 0.03
-98 -92 0.04
-98 -91 0.04
-98 -90 0.05
-98 -89 0.06
-98 -88 0.06
-98 -87 0.07
-98 -86 0.08
-98 -85 0.09
-98 -84 0.1
-98 -83 0.11
-98 -82 0.13
-98 -81 0.14
-98 -80 0.16
-98 -79 0.18
-98 -78 0.2
-98 -77 0.22
-98 -76 0.24
-98 -75 0.27
-98 -74 0.3
-98 -73 0.33
-98 -72 0.37
-98 -71 0.4
-98 -70 0.45
-98 -69 0.49
-98 -68 0.54
-98 -67 0.59
-98 -66 0.65
-98 -65 0.71
-98 -64 0.78
-98 -63 0.85
-98 -62 0.92
-98 -61 1.01
-98 -60 1.09
-98 -59 1.19
-98 -58 1.29
-98 -57 1.39
-98 -56 1.51
-98 -55 1.63
-98 -54 1.75
-98 -53 1.89
-98 -52 2.03
-98 -51 2.18
-98 -50 2.34
-98 -49 2.5
-98 -48 2.68
-98 -47 2.86
-98 -46 3.05
-98 -45 3.25
-98 -44 3.45
-98 -43 3.67
-98 -42 3.89
-98 -41 4.12
-98 -40 4.35
-98 -39 4.6
-98 -38 4.85
-98 -37 5.11
-98 -36 5.37
-98 -35 5.64
-98 -34 5.92
-98 -33 6.2
-98 -32 6.48
-98 -31 6.77
-98 -30 7.06
-98 -29 7.35
-98 -28 7.65
-98 -27 7.95
-98 -26 8.24
-98 -25 8.54
-98 -24 8.83
-98 -23 9.12
-98 -22 9.41
-98 -21 9.69
-98 -20 9.97
-98 -19 10.24
-98 -18 10.51
-98 -17 10.77
-98 -16 11.02
-98 -15 11.25
-98 -14 11.48
-98 -13 11.7
-98 -12 11.9
-98 -11 12.09
-98 -10 12.27
-98 -9 12.43
-98 -8 12.58
-98 -7 12.71
-98 -6 12.82
-98 -5 12.92
-98 -4 13
-98 -3 13.06
-98 -2 13.11
-98 -1 13.14
-98 0 13.15
-98 1 13.14
-98 2 13.11
-98 3 13.06
-98 4 13
-98 5 12.92
-98 6 12.82
-98 7 12.71
-98 8 12.58
-98 9 12.43
-98 10 12.27
-98 11 12.09
-98 12 11.9
-98 13 11.7
-98 14 11.48
-98 15 11.25
-98 16 11.02
-98 17 10.77
-98 18 10.51
-98 19 10.24
-98 20 9.97
-98 21 9.69
-98 22 9.41
-98 23 9.12
-98 24 8.83
-98 25 8.54
-98 26 8.24
-98 27 7.95
-98 28 7.65
-98 29 7.35
-98 30 7.06
-98 31 6.77
-98 32 6.48
-98 33 6.2
-98 34 5.92
-98 35 5.64
-98 36 5.37
-98 37 5.11
-98 38 4.85
-98 39 4.6
-98 40 4.35
-98 41 4.12
-98 42 3.89
-98 43 3.67
-98 44 3.45
-98 45 3.25
-98 46 3.05
-98 47 2.86
-98 48 2.68
-98 49 2.5
-98 50 2.34
-98 51 2.18
-98 52 2.03
-98 53 1.89
-98 54 1.75
-98 55 1.63
-98 56 1.51
-98 57 1.39
-98 58 1.29
-98 59 1.19
-98 60 1.09
-98 61 1.01
-98 62 0.92
-98 63 0.85
-98 64 0.78
-98 65 0.71
-98 66 0.65
-98 67 0.59
-98 68 0.54
-98 69 0.49
-98 70 0.45
-98 71 0.4
-98 72 0.37
-98 73 0.33
-98 74 0.3
-98 75 0.27
-98 76 0.24
-98 77 0.22
-98 78 0.2
-98 79 0.18
-98 80 0.16
-98 81 0.14
-98 82 0.13
-98 83 0.11
-98 84 0.1
-98 85 0.09
-98 86 0.08
-98 87 0.07
-98 88 0.06
-98 89 0.06
-98 90 0.05
-98 91 0.04
-98 92 0.04
-98 93 0.03
-98 94 0.03
-98 95 0.03
-98 96 0.02
-98 97 0.02
-98 98 0.02
-98 99 0.02
-98 100 0.01
-97 -100 0.02
-97 -99 0.02
-97 -98 0.02
-97 -97 0.02
-97 -96 0.03
-97 -95 0.03
-97 -94 0.03
-97 -93 0.04
-97 -92 0.04
-97 -91 0.05
-97 -90 0.06
-97 -89 0.06
-97 -88 0.07
-97 -87 0.08
-97 -86 0.09
-97 -85 0.1
-97 -84 0.11
-97 -83 0.13
-97 -82 0.14
-97 -81 0.16
-97 -80 0.18
-97 -79 0.2
-97 -78 0.22
-97 -77 0.25
-97 -76 0.28
-97 -75 0.31
-97 -74 0.34
-97 -73 0.38
-97 -72 0.42
-97 -71 0.46
-97 -70 0.51
-97 -69 0.56
-97 -68 0.62
-97 -67 0.68
-97 -66 0.74
-97 -65 0.81
-97 -64 0.89
-97 -63 0.97
-97 -62 1.06
-97 -61 1.15
-97 -60 1.25
-97 -59 1.36
-97 -58 1.47
-97 -57 1.59
-97 -56 1.72
-97 -55 1.86
-97 -54 2.01
-97 -53 2.16
-97 -52 2.32
-97 -51 2.49
-97 -50 2.67
-97 -49 2.86
-97 -48 3.06
-97 -47 3.27
-97 -46 3.49
-97 -45 3.71
