event pre_time(s) post_time(s) val
switch 0 1606545 0,0,10,0
rssi -13144845255 -13141618415 11263
rssi -13141605864 -13139022387 11263
rssi -13139021525 -13136381354 11263
rssi -13136380106 -13133750176 11167
rssi -13133749775 -13131038336 11167
rssi -13131025809 -13128413340 11167
rssi -13128412410 -13125782941 11405
rssi -13125782014 -13123233361 11405
rssi -13123232926 -13120615813 11405
rssi -13120613960 -13117980782 11133
rssi -13117980382 -13115352869 11133
rssi -13115352464 -13112721484 11133
rssi -13112721083 -13110001444 11116
rssi -13110000507 -13107366852 11116
rssi -13107365848 -13104793548 11116
rssi -13104792592 -13102107237 11150
rssi -13102106290 -13099476342 11150
rssi -13099463311 -13096848783 11150
rssi -13096847840 -13094291752 11072
rssi -13094290693 -13091684665 11072
rssi -13091684264 -13089031015 11072
rssi -13089030601 -13086400962 11033
rssi -13086400544 -13083768519 11033
rssi -13083768079 -13081139224 11033
rssi -13081138793 -13078510688 11133
rssi -13078510247 -13075878570 11133
rssi -13075878151 -13073250922 11100
rssi -13073250506 -13070621827 11100
rssi -13070621398 -13067992599 11100
rssi -13067992178 -13065364496 11072
rssi -13065364074 -13062731621 11072
rssi -13062731201 -13060103648 11072
rssi -13060103233 -13057471919 11072
rssi -13057466531 -13054842517 11072
rssi -13054842107 -13052215891 11072
rssi -13052215469 -13049582017 11128
rssi -13049581598 -13046952015 11128
rssi -13046951591 -13044322897 11128
rssi -13044322483 -13041689848 11111
rssi -13041689425 -13039056725 11111
rssi -13039056310 -13036427830 11111
rssi -13036427407 -13033794088 11150
rssi -13033793671 -13031165500 11150
rssi -13031165099 -13028538538 11150
rssi -13028538125 -13025905754 11122
rssi -13025905333 -13023278006 11122
rssi -13023277569 -13020645618 11122
rssi -13020645195 -13018013365 11077
rssi -13018012940 -13015382244 11077
rssi -13015381828 -13012751376 11077
rssi -13012750973 -13010123187 11066
rssi -13010122771 -13007492901 11066
rssi -13007492483 -13004860263 11066
rssi -13004859847 -13002231018 11150
rssi -13002230600 -12999596657 11150
rssi -12999596229 -12996968122 11150
rssi -12996967714 -12994337233 11072
rssi -12994336816 -12991706805 11072
rssi -12991706384 -12989077371 11094
rssi -12989076948 -12986447561 11094
rssi -12986447140 -12983814332 11094
rssi -12983813922 -12981185532 11055
rssi -12981185114 -12978556526 11055
rssi -12978556103 -12975924277 11055
rssi -12975923859 -12973294441 11083
rssi -12973286163 -12970685179 11083
rssi -12970684726 -12967964470 11083
rssi -12967953530 -12965420631 11094
rssi -12965420148 -12962698552 11094
rssi -12962697608 -12960071312 11094
rssi -12960070369 -12957436902 11150
rssi -12957435973 -12954795545 11150
rssi -12954794531 -12952177030 11150
rssi -12952176082 -12949544512 11128
rssi -12949543581 -12946911757 11128
rssi -12946910733 -12944284513 11128
rssi -12944283563 -12941653132 11150
