time	P	Y	R
0	1.53E-05	5.65E-05	-9.74E-05
0.004	5.14E-06	6.33E-05	-7.43E-05
0.008	2.13E-06	5.84E-05	-6.69E-05
0.012	-4.50E-06	5.76E-05	-7.57E-05
0.016	-4.45E-06	5.66E-05	-7.92E-05
0.02	-6.47E-07	5.96E-05	-7.89E-05
0.024	5.72E-06	5.85E-05	-5.98E-05
0.028	-9.79E-07	5.35E-05	-5.55E-05
0.032	-9.71E-06	5.66E-05	-5.99E-05
0.036	-1.64E-05	5.56E-05	-4.64E-05
0.04	-2.42E-05	5.11E-05	-5.37E-05
0.044	-1.96E-05	5.38E-05	-3.81E-05
0.048	-1.28E-05	5.30E-05	-2.85E-05
0.052	-3.92E-06	4.03E-05	-2.31E-05
0.056	-1.32E-05	3.58E-05	-2.78E-05
0.06	-1.09E-05	3.52E-05	-5.14E-05
0.064	-1.37E-05	3.05E-05	-6.34E-05
0.068	-5.33E-06	2.17E-05	-7.40E-05
0.072	-5.52E-06	2.10E-05	-7.51E-05
0.076	6.90E-06	1.61E-05	-5.40E-05
0.08	3.43E-06	1.55E-05	-4.49E-05
0.084	-1.24E-05	2.69E-05	-2.82E-05
0.088	-9.02E-06	2.98E-05	-3.29E-05
0.092	-5.70E-06	3.27E-05	-4.54E-05
0.096	-1.03E-05	3.56E-05	-4.70E-05
0.1	1.13E-05	3.82E-05	-5.29E-05
0.104	2.10E-05	4.51E-05	-5.11E-05
0.108	1.22E-05	5.20E-05	-7.03E-05
0.112	5.75E-06	5.08E-05	-8.03E-05
0.116	1.16E-05	6.13E-05	-8.77E-05
0.12	2.45E-05	6.76E-05	-9.86E-05
0.124	3.75E-05	7.37E-05	-7.96E-05
0.128	4.62E-05	6.85E-05	-8.12E-05
0.132	5.84E-05	6.75E-05	-6.35E-05
0.136	6.22E-05	6.63E-05	-7.39E-05
0.14	6.48E-05	7.64E-05	-7.08E-05
0.144	7.19E-05	8.65E-05	-6.09E-05
0.148	7.97E-05	8.89E-05	-4.26E-05
0.152	7.75E-05	8.74E-05	-3.32E-05
0.156	7.97E-05	8.99E-05	-4.11E-05
0.16	6.63E-05	9.64E-05	-4.98E-05
0.164	6.93E-05	9.87E-05	-5.94E-05
0.168	6.87E-05	0.0001050493613	-6.66E-05
0.172	6.04E-05	0.0001034515559	-8.09E-05
0.176	5.56E-05	0.0001059470358	-6.12E-05
0.18	5.57E-05	0.0001123952195	-4.08E-05
0.184	4.92E-05	0.0001220706696	-5.39E-05
0.188	3.57E-05	0.0001168703457	-4.65E-05
0.192	4.44E-05	0.0001073468708	-3.59E-05
0.196	3.86E-05	0.0001024324999	-2.07E-05
0.2	3.51E-05	0.0001085817498	-2.18E-05
0.204	3.68E-05	0.0001145399308	-1.41E-05
0.208	3.36E-05	0.0001128060571	-1.96E-05
0.212	2.80E-05	0.0001073467704	-4.45E-06
0.216	2.01E-05	0.0001019209062	4.48E-06
0.22	1.98E-05	0.0001005540468	9.93E-06
0.224	1.61E-05	9.13E-05	2.35E-06
0.228	1.13E-05	8.59E-05	-2.92E-06
0.232	1.60E-05	8.44E-05	1.26E-05
0.236	2.01E-05	7.93E-05	2.60E-05
0.24	2.13E-05	8.16E-05	3.48E-05
0.244	1.09E-05	7.23E-05	2.52E-05
0.248	-7.10E-06	7.93E-05	4.69E-05
0.252	-7.41E-06	7.77E-05	6.13E-05
0.256	6.98E-07	8.41E-05	8.05E-05
0.26	-3.36E-06	8.27E-05	9.78E-05
0.264	9.27E-06	8.10E-05	1.00E-04
0.268	1.14E-05	8.32E-05	9.11E-05
0.272	1.80E-05	8.54E-05	9.24E-05
0.276	2.44E-05	7.59E-05	9.07E-05
0.28	2.92E-05	7.85E-05	0.0001067197034
0.284	3.88E-05	8.11E-05	0.0001056207504
0.288	3.63E-05	7.99E-05	8.70E-05
0.292	2.94E-05	8.24E-05	7.99E-05
0.296	2.91E-05	9.64E-05	6.64E-05
0.3	2.99E-05	9.08E-05	5.26E-05
0.304	3.36E-05	9.69E-05	4.76E-05
0.308	2.76E-05	0.0001067223458	5.05E-05
0.312	2.56E-05	0.0001165560219	5.01E-05
0.316	2.96E-05	0.0001224845621	3.28E-05
0.32	2.60E-05	0.0001093263827	2.91E-05
0.324	2.11E-05	9.63E-05	2.55E-05
0.328	3.09E-05	8.71E-05	5.71E-05
0.332	1.83E-05	8.96E-05	7.02E-05
0.336	8.42E-06	8.44E-05	6.76E-05
0.34	2.74E-06	7.51E-05	6.17E-05
0.344	2.36E-06	8.14E-05	6.36E-05
0.348	1.05E-05	8.73E-05	5.70E-05
0.352	5.40E-06	9.36E-05	7.27E-05
0.356	9.92E-06	9.57E-05	8.27E-05
0.36	2.80E-05	0.0001012224918	8.42E-05
0.364	3.55E-05	0.000106881484	9.32E-05
0.368	3.33E-05	0.0001091292543	0.0001024466855
0.372	3.21E-05	0.0001036905867	0.0001345267996
0.376	2.82E-05	0.000105886038	0.0001572853367
0.38	1.99E-05	0.0001040782697	0.000156212547
0.384	3.59E-06	9.88E-05	0.0001704439193
0.388	2.07E-06	0.0001086833027	0.0001621124215
0.392	8.18E-06	0.0001033110971	0.0001698254808
0.396	1.42E-05	0.0001013835902	0.0001617986081
0.4	1.86E-05	8.81E-05	0.0001569625391
0.404	2.50E-05	9.03E-05	0.0001532764803
0.408	3.50E-05	9.24E-05	0.0001556020266
0.412	2.24E-05	9.46E-05	0.0001513013084
0.416	2.43E-05	9.67E-05	0.0001543574432
0.42	2.24E-05	0.0001067336525	0.0001716004413
0.424	1.62E-05	0.000112547677	0.000164879304
0.428	9.95E-06	0.0001067362146	0.0001615483735
0.432	1.36E-05	0.0001050482064	0.0001752342806
0.436	2.44E-05	0.0001067644309	0.0001716937279
0.44	2.30E-05	9.72E-05	0.0001721941763
0.444	3.09E-05	9.15E-05	0.0001773027723
0.448	4.13E-05	9.34E-05	0.0001891120008
0.452	2.77E-05	9.61E-05	0.000179618013
0.456	3.48E-05	9.83E-05	0.0001735602477
0.46	3.30E-05	0.0001046564188	0.0001558653799
0.464	4.04E-05	0.000114561112	0.0001444813674
0.468	4.16E-05	0.0001237661808	0.0001308369309
0.472	3.94E-05	0.0001292809853	0.0001346661555
0.476	3.98E-05	0.0001271886995	0.0001274453166
0.48	4.18E-05	0.000124963535	0.0001007074954
0.484	3.78E-05	0.00012678634	8.90E-05
0.488	3.04E-05	0.0001287305062	9.52E-05
0.492	2.56E-05	0.0001264465595	0.0001005132549
0.496	1.35E-05	0.0001320698258	0.0001047636675
0.5	1.19E-05	0.0001265302451	0.000110097023
0.504	5.07E-06	0.0001242430807	0.0001101161379
0.508	9.96E-06	0.0001227631712	9.49E-05
0.512	1.28E-05	0.0001207909103	9.88E-05
0.516	5.22E-06	0.0001193098496	9.44E-05
0.52	5.06E-06	0.0001133591351	0.000103163365
0.524	-5.73E-07	0.0001157865954	9.95E-05
0.528	-1.88E-05	0.0001102012408	0.0001060769584
0.532	-3.07E-05	0.0001127813829	9.28E-05
0.536	-3.26E-05	0.0001072844185	9.86E-05
0.54	-3.25E-05	0.0001052664866	8.81E-05
0.544	-2.44E-05	0.0001108575526	9.63E-05
