time	Pitch	Yaw	Roll
0	0	0	0
0.004	-3.84E-06	-2.50E-06	-3.95E-06
0.008	-7.53E-06	-5.29E-06	-8.13E-06
0.012	-1.10E-05	-8.46E-06	-1.26E-05
0.016	-1.43E-05	-1.17E-05	-1.69E-05
0.02	-1.73E-05	-1.51E-05	-2.10E-05
0.024	-2.01E-05	-1.87E-05	-2.50E-05
0.028	-2.28E-05	-2.21E-05	-2.89E-05
0.032	-2.56E-05	-2.55E-05	-3.28E-05
0.036	-2.84E-05	-2.92E-05	-3.69E-05
0.04	-3.09E-05	-3.31E-05	-4.12E-05
0.044	-3.35E-05	-3.67E-05	-4.54E-05
0.048	-3.62E-05	-3.99E-05	-4.94E-05
0.052	-3.92E-05	-4.28E-05	-5.32E-05
0.056	-4.21E-05	-4.53E-05	-5.67E-05
0.06	-4.48E-05	-4.78E-05	-6.00E-05
0.064	-4.73E-05	-5.04E-05	-6.31E-05
0.068	-4.96E-05	-5.31E-05	-6.62E-05
0.072	-5.19E-05	-5.60E-05	-6.94E-05
0.076	-5.41E-05	-5.89E-05	-7.28E-05
0.08	-5.62E-05	-6.18E-05	-7.59E-05
0.084	-5.81E-05	-6.44E-05	-7.88E-05
0.088	-6.00E-05	-6.71E-05	-8.17E-05
0.092	-6.19E-05	-6.95E-05	-8.45E-05
0.096	-6.39E-05	-7.19E-05	-8.72E-05
0.1	-6.59E-05	-7.44E-05	-9.00E-05
0.104	-6.78E-05	-7.70E-05	-9.29E-05
0.108	-6.98E-05	-7.95E-05	-9.58E-05
0.112	-7.17E-05	-8.22E-05	-9.86E-05
0.116	-7.34E-05	-8.47E-05	-0.0001012632235
0.12	-7.54E-05	-8.69E-05	-0.0001036434015
0.124	-7.73E-05	-8.88E-05	-0.0001058911693
0.128	-7.89E-05	-9.11E-05	-0.0001082952191
0.132	-8.03E-05	-9.36E-05	-0.0001109040458
0.136	-8.19E-05	-9.61E-05	-0.0001135405512
0.14	-8.36E-05	-9.84E-05	-0.0001161364735
0.144	-8.53E-05	-0.0001005832325	-0.0001186794738
0.148	-8.68E-05	-0.0001027229297	-0.0001210309534
0.152	-8.84E-05	-0.0001045972335	-0.0001231960534
0.156	-9.04E-05	-0.0001064218868	-0.0001257021104
0.16	-9.24E-05	-0.0001085107508	-0.0001286657169
0.164	-9.46E-05	-0.0001106459492	-0.0001318060465
0.168	-9.71E-05	-0.0001125784618	-0.0001349116719
0.172	-9.96E-05	-0.000114442455	-0.0001379614591
0.176	-0.0001019040142	-0.0001164573987	-0.0001410904636
0.18	-0.0001040958203	-0.00011854189	-0.0001441605067
0.184	-0.0001062427186	-0.0001204654524	-0.0001470511922
0.188	-0.0001079329988	-0.0001227088635	-0.0001499374461
0.192	-0.0001091380372	-0.0001254433222	-0.0001529288815
0.196	-0.0001102873454	-0.0001280904033	-0.0001557572445
0.2	-0.0001115189084	-0.0001305200328	-0.0001584290599
0.204	-0.000112761061	-0.000132961951	-0.0001611136629
0.208	-0.0001139601186	-0.000135344013	-0.0001637286356
0.212	-0.00011523227	-0.0001375437733	-0.0001662136892
0.216	-0.0001165882206	-0.0001397333373	-0.0001687339558
0.22	-0.0001178900484	-0.0001420554066	-0.0001713401415
0.224	-0.000118878977	-0.0001444589337	-0.000173787044
0.228	-0.0001196983657	-0.0001468236016	-0.0001760826801
0.232	-0.0001205111293	-0.0001491884557	-0.0001783771302
0.236	-0.0001212021853	-0.0001515700581	-0.0001806026165
0.24	-0.0001218171759	-0.0001538703578	-0.0001826544495
0.244	-0.0001223989861	-0.0001561017758	-0.0001845432447
0.248	-0.000122908106	-0.0001584272023	-0.0001864180735
0.252	-0.0001232815337	-0.0001610043911	-0.000188425771
0.256	-0.0001236130701	-0.0001637186803	-0.0001905605058
0.26	-0.0001240442388	-0.000166419524	-0.0001927323151
0.264	-0.0001247550989	-0.0001689305329	-0.0001948151122
0.268	-0.000125639923	-0.0001712455915	-0.0001967478529
