time	Pitch	Yaw	Roll
0	-0.000967762973	-0.0006326938013	-0.0009845723413
0.004	-0.0009498935591	-0.0006174515266	-0.0009909247993
0.008	-0.000898792938	-0.000775494179	-0.001098318113
0.012	-0.0008433028459	-0.0008090298171	-0.001117320759
0.016	-0.000809820002	-0.0008146007161	-0.001042996917
0.02	-0.000686809726	-0.0008959744393	-0.001010250596
0.024	-0.000687702992	-0.000868805536	-0.0009789308571
0.028	-0.0006928765609	-0.0008501136101	-0.0009689788121
0.032	-0.0007179311633	-0.0008780562056	-0.001008551508
0.036	-0.0006419408252	-0.0009629463388	-0.001053120036
0.04	-0.0006230958693	-0.0009736202997	-0.001090542349
0.044	-0.0006633356756	-0.0008250724224	-0.0009931704139
0.048	-0.0007170339847	-0.0007937058204	-0.001014583699
0.052	-0.0007550699105	-0.0006406452067	-0.0008911084329
0.056	-0.0007207372483	-0.000612021426	-0.0008373629931
0.06	-0.0006396219601	-0.0006513144069	-0.0007986077412
0.064	-0.0006033078908	-0.0006524958103	-0.000765647444
0.068	-0.0005496545142	-0.0006981713211	-0.000788216395
0.072	-0.0005654335966	-0.0007361618604	-0.0008371612955
0.076	-0.0005531762115	-0.0007308795963	-0.000832487363
0.08	-0.0004980826647	-0.0006701655647	-0.0007320877416
0.084	-0.00046614901	-0.0006630961643	-0.0007244580052
0.088	-0.000456084401	-0.0006636173878	-0.0007163520917
0.092	-0.000515054072	-0.0005625281455	-0.0006667663346
0.096	-0.0004908031506	-0.0006233782166	-0.0006994187794
0.1	-0.0004826468469	-0.0006456579661	-0.0007212251465
0.104	-0.0005000449019	-0.0006259970348	-0.0007185114588
0.108	-0.0004854065152	-0.0006527498684	-0.0007078476306
0.112	-0.0004601635137	-0.0006613746993	-0.0007031430093
0.116	-0.0004060304393	-0.0006195669822	-0.0006308579533
0.12	-0.0005482302199	-0.0004441193891	-0.0005592310693
0.124	-0.0004111481565	-0.0005417647066	-0.0005646528408
0.128	-0.0003804988775	-0.0006096358534	-0.0006373720198
0.132	-0.0003647149965	-0.0006309669961	-0.0006670413636
0.136	-0.0003925876412	-0.0006102401013	-0.0006512113331
0.14	-0.0004623632737	-0.0005357740363	-0.0006467497854
0.144	-0.0003835494615	-0.0005645351348	-0.0006247503672
0.148	-0.000387666415	-0.0005053134872	-0.0005509894656
0.152	-0.0004249167904	-0.0004318384041	-0.0005315605118
