time	X	Y	Z
0	1.12E-07	-6.00E-08	-3.93E-08
0.001953125	1.39E-06	-7.15E-07	5.50E-08
0.00390625	3.70E-06	-2.00E-06	6.63E-07
0.005859375	6.88E-06	-3.70E-06	9.40E-07
0.0078125	1.08E-05	-5.42E-06	1.15E-06
0.009765625	1.52E-05	-7.24E-06	2.19E-06
0.01171875	1.99E-05	-9.23E-06	3.48E-06
0.013671875	2.49E-05	-1.10E-05	5.26E-06
0.015625	2.98E-05	-1.27E-05	8.27E-06
0.017578125	3.46E-05	-1.46E-05	1.14E-05
0.01953125	3.92E-05	-1.65E-05	1.44E-05
0.021484375	4.37E-05	-1.84E-05	1.82E-05
0.0234375	4.79E-05	-2.06E-05	2.19E-05
0.025390625	5.19E-05	-2.29E-05	2.51E-05
0.02734375	5.56E-05	-2.52E-05	2.87E-05
0.029296875	5.89E-05	-2.79E-05	3.22E-05
0.03125	6.19E-05	-3.07E-05	3.48E-05
0.033203125	6.46E-05	-3.33E-05	3.74E-05
0.03515625	6.69E-05	-3.60E-05	3.97E-05
0.037109375	6.91E-05	-3.84E-05	4.08E-05
0.0390625	7.09E-05	-4.03E-05	4.17E-05
0.041015625	7.23E-05	-4.20E-05	4.26E-05
0.04296875	7.33E-05	-4.31E-05	4.25E-05
0.044921875	7.40E-05	-4.35E-05	4.26E-05
0.046875	7.41E-05	-4.35E-05	4.32E-05
0.048828125	7.37E-05	-4.30E-05	4.31E-05
0.05078125	7.28E-05	-4.17E-05	4.30E-05
0.052734375	7.13E-05	-4.04E-05	4.32E-05
0.0546875	6.94E-05	-3.88E-05	4.24E-05
0.056640625	6.72E-05	-3.69E-05	4.12E-05
0.05859375	6.46E-05	-3.52E-05	4.03E-05
0.060546875	6.16E-05	-3.39E-05	3.81E-05
0.0625	5.84E-05	-3.24E-05	3.52E-05
0.064453125	5.48E-05	-3.11E-05	3.28E-05
0.06640625	5.11E-05	-3.00E-05	2.99E-05
0.068359375	4.71E-05	-2.87E-05	2.64E-05
0.0703125	4.28E-05	-2.75E-05	2.38E-05
0.072265625	3.83E-05	-2.61E-05	2.13E-05
0.07421875	3.35E-05	-2.42E-05	1.85E-05
0.076171875	2.83E-05	-2.19E-05	1.66E-05
0.078125	2.30E-05	-1.93E-05	1.49E-05
0.080078125	1.76E-05	-1.62E-05	1.25E-05
0.08203125	1.20E-05	-1.28E-05	1.11E-05
0.083984375	6.17E-06	-9.36E-06	1.00E-05
0.0859375	4.20E-07	-5.68E-06	8.10E-06
0.087890625	-5.34E-06	-1.89E-06	6.59E-06
0.08984375	-1.11E-05	1.70E-06	5.08E-06
0.091796875	-1.66E-05	5.24E-06	2.20E-06
0.09375	-2.19E-05	8.55E-06	-7.03E-07
0.095703125	-2.71E-05	1.13E-05	-3.56E-06
0.09765625	-3.20E-05	1.39E-05	-7.82E-06
0.099609375	-3.67E-05	1.62E-05	-1.23E-05
0.1015625	-4.12E-05	1.81E-05	-1.65E-05
0.103515625	-4.55E-05	1.98E-05	-2.17E-05
0.10546875	-4.97E-05	2.15E-05	-2.69E-05
0.107421875	-5.37E-05	2.33E-05	-3.13E-05
0.109375	-5.76E-05	2.52E-05	-3.63E-05
0.111328125	-6.13E-05	2.75E-05	-4.08E-05
0.11328125	-6.50E-05	3.00E-05	-4.36E-05
0.115234375	-6.87E-05	3.27E-05	-4.63E-05
0.1171875	-7.25E-05	3.58E-05	-4.86E-05
0.119140625	-7.63E-05	3.87E-05	-4.93E-05
0.12109375	-8.00E-05	4.16E-05	-4.98E-05
0.123046875	-8.35E-05	4.44E-05	-5.03E-05
0.125	-8.68E-05	4.70E-05	-4.95E-05
0.126953125	-8.98E-05	4.92E-05	-4.86E-05
0.12890625	-9.23E-05	5.10E-05	-4.86E-05
0.130859375	-9.44E-05	5.23E-05	-4.80E-05
0.1328125	-9.60E-05	5.30E-05	-4.80E-05
0.134765625	-9.72E-05	5.34E-05	-4.92E-05
0.13671875	-9.80E-05	5.35E-05	-5.01E-05
0.138671875	-9.82E-05	5.33E-05	-5.12E-05
0.140625	-9.81E-05	5.31E-05	-5.34E-05
0.142578125	-9.76E-05	5.27E-05	-5.49E-05
0.14453125	-9.70E-05	5.24E-05	-5.60E-05
0.146484375	-9.62E-05	5.24E-05	-5.77E-05
0.1484375	-9.52E-05	5.27E-05	-5.86E-05
0.150390625	-9.42E-05	5.32E-05	-5.86E-05
0.15234375	-9.30E-05	5.39E-05	-5.90E-05
0.154296875	-9.19E-05	5.46E-05	-5.86E-05
0.15625	-9.06E-05	5.51E-05	-5.70E-05
0.158203125	-8.91E-05	5.55E-05	-5.60E-05
0.16015625	-8.76E-05	5.55E-05	-5.46E-05
0.162109375	-8.61E-05	5.50E-05	-5.22E-05
0.1640625	-8.44E-05	5.41E-05	-5.04E-05
0.166015625	-8.26E-05	5.28E-05	-4.90E-05
0.16796875	-8.05E-05	5.10E-05	-4.70E-05
0.169921875	-7.81E-05	4.89E-05	-4.54E-05
0.171875	-7.57E-05	4.65E-05	-4.39E-05
0.173828125	-7.30E-05	4.40E-05	-4.12E-05
0.17578125	-7.00E-05	4.17E-05	-3.89E-05
0.177734375	-6.69E-05	3.95E-05	-3.74E-05
0.1796875	-6.36E-05	3.76E-05	-3.52E-05
0.181640625	-6.01E-05	3.60E-05	-3.31E-05
0.18359375	-5.66E-05	3.46E-05	-3.13E-05
0.185546875	-5.30E-05	3.33E-05	-2.86E-05
0.1875	-4.93E-05	3.22E-05	-2.60E-05
0.189453125	-4.55E-05	3.12E-05	-2.40E-05
0.19140625	-4.17E-05	2.99E-05	-2.14E-05
0.193359375	-3.79E-05	2.85E-05	-1.89E-05
0.1953125	-3.39E-05	2.68E-05	-1.74E-05
0.197265625	-2.99E-05	2.47E-05	-1.57E-05
0.19921875	-2.58E-05	2.22E-05	-1.40E-05
0.201171875	-2.17E-05	1.94E-05	-1.33E-05
0.203125	-1.76E-05	1.61E-05	-1.24E-05
0.205078125	-1.35E-05	1.29E-05	-1.11E-05
0.20703125	-9.59E-06	9.83E-06	-1.06E-05
0.208984375	-5.74E-06	6.75E-06	-9.93E-06
0.2109375	-1.94E-06	3.96E-06	-8.57E-06
0.212890625	1.74E-06	1.46E-06	-7.42E-06
0.21484375	5.20E-06	-8.34E-07	-5.80E-06
0.216796875	8.45E-06	-2.70E-06	-3.23E-06
0.21875	1.15E-05	-4.20E-06	-5.78E-07
0.220703125	1.43E-05	-5.56E-06	2.45E-06
0.22265625	1.69E-05	-6.70E-06	6.32E-06
0.224609375	1.94E-05	-7.75E-06	1.01E-05
0.2265625	2.19E-05	-8.99E-06	1.36E-05
0.228515625	2.45E-05	-1.03E-05	1.73E-05
0.23046875	2.70E-05	-1.18E-05	2.03E-05
0.232421875	2.95E-05	-1.38E-05	2.25E-05
0.234375	3.21E-05	-1.60E-05	2.45E-05
0.236328125	3.48E-05	-1.84E-05	2.60E-05
0.23828125	3.76E-05	-2.10E-05	2.64E-05
0.240234375	4.03E-05	-2.35E-05	2.64E-05
0.2421875	4.30E-05	-2.58E-05	2.62E-05
0.244140625	4.54E-05	-2.80E-05	2.57E-05
0.24609375	4.77E-05	-2.99E-05	2.54E-05
0.248046875	4.98E-05	-3.12E-05	2.55E-05
0.25	5.16E-05	-3.20E-05	2.57E-05
0.251953125	5.32E-05	-3.24E-05	2.64E-05
0.25390625	5.44E-05	-3.23E-05	2.77E-05
0.255859375	5.53E-05	-3.20E-05	2.92E-05
0.2578125	5.59E-05	-3.17E-05	3.08E-05
0.259765625	5.64E-05	-3.12E-05	3.27E-05
0.26171875	5.66E-05	-3.11E-05	3.45E-05
0.263671875	5.67E-05	-3.12E-05	3.59E-05
0.265625	5.67E-05	-3.13E-05	3.72E-05
0.267578125	5.68E-05	-3.17E-05	3.81E-05
0.26953125	5.69E-05	-3.24E-05	3.87E-05
0.271484375	5.69E-05	-3.32E-05	3.92E-05
0.2734375	5.70E-05	-3.40E-05	3.95E-05
