time	Pitch	Yaw	Roll
0	0	0	0
0.004	-3.85E-06	-2.51E-06	-3.96E-06
0.008	-7.57E-06	-5.31E-06	-8.17E-06
0.012	-1.11E-05	-8.50E-06	-1.26E-05
0.016	-1.44E-05	-1.18E-05	-1.70E-05
0.02	-1.75E-05	-1.53E-05	-2.12E-05
0.024	-2.03E-05	-1.88E-05	-2.52E-05
0.028	-2.31E-05	-2.23E-05	-2.92E-05
0.032	-2.60E-05	-2.59E-05	-3.33E-05
0.036	-2.88E-05	-2.96E-05	-3.75E-05
0.04	-3.15E-05	-3.36E-05	-4.19E-05
0.044	-3.42E-05	-3.73E-05	-4.62E-05
0.048	-3.70E-05	-4.07E-05	-5.04E-05
0.052	-4.01E-05	-4.37E-05	-5.44E-05
0.056	-4.32E-05	-4.63E-05	-5.80E-05
0.06	-4.60E-05	-4.90E-05	-6.15E-05
0.064	-4.87E-05	-5.18E-05	-6.48E-05
0.068	-5.11E-05	-5.47E-05	-6.81E-05
0.072	-5.35E-05	-5.77E-05	-7.16E-05
0.076	-5.59E-05	-6.08E-05	-7.52E-05
0.08	-5.82E-05	-6.38E-05	-7.85E-05
0.084	-6.03E-05	-6.67E-05	-8.17E-05
0.088	-6.24E-05	-6.95E-05	-8.48E-05
0.092	-6.45E-05	-7.22E-05	-8.79E-05
0.096	-6.67E-05	-7.48E-05	-9.09E-05
0.1	-6.89E-05	-7.76E-05	-9.40E-05
0.104	-7.11E-05	-8.04E-05	-9.72E-05
0.108	-7.33E-05	-8.32E-05	-0.000100325907
0.112	-7.54E-05	-8.61E-05	-0.0001034598771
0.116	-7.74E-05	-8.89E-05	-0.0001064486674
0.12	-7.95E-05	-9.13E-05	-0.0001091577535
0.124	-8.17E-05	-9.35E-05	-0.0001117419007
0.128	-8.35E-05	-9.61E-05	-0.0001144898387
0.132	-8.53E-05	-9.89E-05	-0.0001174506209
0.136	-8.70E-05	-0.00010169213	-0.0001204475091
0.14	-8.90E-05	-0.0001042949584	-0.0001234122228
0.144	-9.10E-05	-0.0001068135995	-0.0001263322796
0.148	-9.28E-05	-0.0001092783074	-0.0001290687035
0.152	-9.47E-05	-0.0001114841056	-0.0001316260509
0.156	-9.69E-05	-0.0001136462493	-0.0001345318962
0.16	-9.93E-05	-0.0001160789297	-0.0001379040649
0.164	-0.0001017901677	-0.0001185647493	-0.0001414627117
0.168	-0.000104557398	-0.0001208544455	-0.0001449966304
0.172	-0.0001073495104	-0.0001230817641	-0.000148484549
0.176	-0.0001100138393	-0.0001254663004	-0.0001520615602
0.18	-0.000112538034	-0.0001279269903	-0.0001555895179
0.184	-0.00011502426	-0.0001302332144	-0.0001589476583
0.188	-0.0001170600318	-0.000132865994	-0.0001623106231
0.192	-0.0001186152684	-0.0001359977796	-0.0001657881807
0.196	-0.0001201186416	-0.0001390507699	-0.000169111987
0.2	-0.0001217081723	-0.0001418944203	-0.0001722880716
0.204	-0.0001233123338	-0.0001447581536	-0.0001754855454
0.208	-0.0001248773863	-0.0001475697504	-0.0001786219002
0.212	-0.0001265195601	-0.0001502063894	-0.0001816365355
0.216	-0.0001282497979	-0.0001528398766	-0.0001846944337
0.22	-0.0001299302189	-0.0001556130995	-0.0001878464838
0.224	-0.0001313014746	-0.000158475339	-0.0001908473664
0.228	-0.0001325061726	-0.0001613063417	-0.0001937046137
0.232	-0.0001337069486	-0.0001641450907	-0.0001965680653
0.236	-0.0001347885143	-0.0001670081716	-0.0001993698291
0.24	-0.0001357961984	-0.0001697974309	-0.0002020048345
0.244	-0.0001367727088	-0.000172525054	-0.0002044831696
0.248	-0.0001376783635	-0.0001753539667	-0.0002069536244
0.252	-0.0001384498296	-0.0001784424529	-0.0002095632096
0.256	-0.0001391806245	-0.0001816764491	-0.0002123064874
0.26	-0.0001400123513	-0.000184905598	-0.0002150937409
0.264	-0.000141125646	-0.0001879531935	-0.0002177987958
0.268	-0.0001424154738	-0.0001908125209	-0.0002203602306
0.272	-0.0001437138161	-0.0001936320697	-0.0002228222018
0.276	-0.0001450656379	-0.0001964798827	-0.00022533801
0.28	-0.000146452977	-0.0001993603512	-0.0002279631148
0.284	-0.000147818529	-0.0002025995669	-0.0002309998752
0.288	-0.0001490954609	-0.0002062175201	-0.0002344472246
0.292	-0.0001503576951	-0.0002097348111	-0.0002378058462
0.296	-0.0001517093911	-0.0002131507666	-0.0002410433444
0.3	-0.0001531630466	-0.0002164075072	-0.000244173486
0.304	-0.0001545946439	-0.0002196505104	-0.0002472797605
0.308	-0.0001558343803	-0.0002232028944	-0.0002504889742
0.312	-0.000156954718	-0.0002269616135	-0.0002538137172
0.316	-0.0001581729114	-0.0002307449273	-0.0002572599179
0.32	-0.0001595021462	-0.0002344877705	-0.0002607981439
0.324	-0.0001607652487	-0.0002381465296	-0.0002642624941
0.328	-0.0001619401849	-0.0002416811594	-0.0002675669825
0.332	-0.0001631024462	-0.0002449152978	-0.0002706326728
0.336	-0.0001642780415	-0.0002478617113	-0.0002734696583
0.34	-0.0001654165926	-0.0002509063506	-0.0002764377591
0.344	-0.000166538437	-0.0002540814333	-0.0002795028412
0.348	-0.0001680032629	-0.000256917853	-0.0002823976153
0.352	-0.0001697631219	-0.0002595147798	-0.000285242057
0.356	-0.0001715713106	-0.0002621496765	-0.0002881194645
0.36	-0.000173431616	-0.0002644280399	-0.0002906696671
0.364	-0.000175282825	-0.0002664707501	-0.0002929776377
0.368	-0.0001771417798	-0.0002687120765	-0.0002954555622
0.372	-0.0001789812062	-0.000271119175	-0.000298113946
0.376	-0.0001806861669	-0.0002736708408	-0.0003008662705
0.38	-0.0001822427645	-0.0002767143311	-0.0003039915207
0.384	-0.0001837149362	-0.0002801703366	-0.0003074347233
0.388	-0.0001851811254	-0.0002834606121	-0.0003107131478
0.392	-0.000187020739	-0.0002860883084	-0.0003136645718
0.396	-0.0001892437419	-0.0002882105217	-0.0003163809312
0.4	-0.0001916203132	-0.0002903674848	-0.0003191635468
0.404	-0.0001941587633	-0.0002924885633	-0.0003219628245
0.408	-0.000196873125	-0.0002943651412	-0.0003246840398
0.412	-0.0001996856453	-0.0002961127134	-0.000327354261
0.416	-0.0002023489191	-0.0002979065464	-0.0003298848432
0.42	-0.0002050452407	-0.0002994471525	-0.0003321310869
0.424	-0.0002078991934	-0.0003006149646	-0.0003340949797
0.428	-0.0002107204934	-0.0003018863298	-0.0003361458865
0.432	-0.0002134782584	-0.0003033675045	-0.0003383661549
0.436	-0.0002162395598	-0.0003048321383	-0.0003405822352
0.44	-0.0002189976601	-0.0003062770167	-0.0003427819121
0.444	-0.0002214452951	-0.0003078829812	-0.000344912113
0.448	-0.0002235887403	-0.0003096059067	-0.0003469830855
0.452	-0.0002256668821	-0.0003113064467	-0.0003490118675
0.456	-0.0002276721744	-0.0003130475287	-0.0003510188735
0.46	-0.0002296354215	-0.0003149014238	-0.0003531898713
0.464	-0.0002315649511	-0.0003168019846	-0.0003554978009
0.468	-0.0002334741089	-0.0003186977628	-0.0003578664368
0.472	-0.0002353208401	-0.0003206592516	-0.0003602691691
0.476	-0.0002370051128	-0.0003225705664	-0.0003624690244
0.48	-0.0002385988128	-0.0003243622102	-0.000364444588
0.484	-0.0002401930055	-0.0003260834328	-0.0003663612559
0.488	-0.000241468665	-0.0003279428461	-0.0003682158388
