time	Pitch	Yaw	Roll
0	-0.0009692590131	-0.0006336718665	-0.0009860943666
0.004	-0.0009543563125	-0.0006203636352	-0.0009955029914
0.008	-0.0009061202069	-0.0007805639644	-0.001106132864
0.012	-0.0008533340122	-0.0008165565838	-0.001128572176
0.016	-0.0008224213356	-0.0008246484389	-0.001057604379
0.02	-0.0007017428197	-0.0009086810522	-0.001028053238
0.024	-0.0007047821276	-0.0008842584783	-0.0009998339294
0.028	-0.0007121138136	-0.0008682456684	-0.0009929225459
0.032	-0.0007393759014	-0.000898885163	-0.001035585525
0.036	-0.000665516947	-0.0009866500349	-0.001083378207
0.04	-0.0006486592187	-0.001000350052	-0.001124155316
0.044	-0.0006909214829	-0.0008546188116	-0.001030049481
0.048	-0.0007467896086	-0.0008257940146	-0.001054615172
0.052	-0.0007871394572	-0.0006749928867	-0.0009341379831
0.056	-0.0007551288832	-0.0006483500003	-0.0008831197645
0.06	-0.0006761595901	-0.0006896421426	-0.0008469513353
0.064	-0.0006418120165	-0.0006928870128	-0.0008164692919
0.068	-0.0005899877472	-0.0007407001946	-0.0008415024793
0.072	-0.0006075388071	-0.0007809595566	-0.0008930241133
0.076	-0.0005970601184	-0.0007779986214	-0.0008909973883
0.08	-0.0005436423811	-0.0007195058459	-0.0007930846049
0.084	-0.0005132510215	-0.0007145546404	-0.0007877764416
0.088	-0.0005046645494	-0.0007171854336	-0.0007819691835
0.092	-0.0005651885813	-0.0006180517134	-0.0007345941999
0.096	-0.0005425463863	-0.000680796222	-0.0007694323412
0.1	-0.0005359494423	-0.0007050998856	-0.0007935095873
0.104	-0.0005549217521	-0.0006874680238	-0.0007930973531
0.108	-0.0005418624721	-0.0007162619439	-0.0007847153372
0.112	-0.000518137473	-0.0007269835614	-0.0007822697112
0.116	-0.0004654001052	-0.0006872223684	-0.0007121254736
0.12	-0.0006091319144	-0.0005134863453	-0.000642417534
0.124	-0.0004735901404	-0.00061272329	-0.0006496561051
0.128	-0.0004442221781	-0.0006824420327	-0.0007243128735
0.132	-0.0004296477192	-0.0007057591115	-0.0007560782144
0.136	-0.0004587482171	-0.0006870196879	-0.0007423658895
0.14	-0.0005299023958	-0.0006143944846	-0.0007399909688
0.144	-0.0004524530955	-0.0006449260596	-0.0007200374567
0.148	-0.000457818969	-0.0005874279125	-0.0006481744944
0.152	-0.0004963818833	-0.000515471191	-0.0006304992084
0.156	-0.0006156614757	-0.0005656006625	-0.0008224234397
0.16	-0.0005640376372	-0.0006507395501	-0.0008636608747
0.164	-0.0006895844613	-0.0005921702396	-0.0009156625347
0.168	-0.0006940306813	-0.0005526778474	-0.0008512968199
0.172	-0.000702025503	-0.0005609814453	-0.0008926624828
0.176	-0.0006301389367	-0.0006312866914	-0.0008958431383
0.18	-0.0006319584047	-0.000599058283	-0.0008681357095
0.184	-0.0006111546191	-0.000554053771	-0.0008109344575
0.188	-0.0004067312853	-0.0007623360176	-0.0008705479782
0.192	-0.0003708870203	-0.0008035567765	-0.0008682308175
0.196	-0.0003807995673	-0.0007229383653	-0.0007936722884
0.2	-0.0004139657658	-0.0006988868462	-0.0007943700243
0.204	-0.0003881149832	-0.0007329798088	-0.0008043669067
0.208	-0.0003944113054	-0.0006728185769	-0.0007638104868
0.212	-0.0004266755764	-0.0006455009616	-0.0007435071678
0.216	-0.0004384433118	-0.0006712426003	-0.0007854419153
0.22	-0.0004017671932	-0.0007153688588	-0.0007905831519
0.224	-0.0002838606418	-0.000715750911	-0.0007098581385
0.228	-0.0003184883865	-0.0006997504326	-0.0007187655193
0.232	-0.000281899617	-0.0007196240686	-0.0007129602806
0.236	-0.0002588832264	-0.00071191639	-0.0006879216
