time	Pitch	Yaw	Roll
0	0	0	0
0.004	-2.30E-06	-2.52E-05	-4.63E-06
0.008	-4.60E-06	-5.00E-05	-9.79E-06
0.012	-6.99E-06	-7.39E-05	-1.52E-05
0.016	-9.31E-06	-9.70E-05	-2.03E-05
0.02	-1.15E-05	-1.19E-04	-2.52E-05
0.024	-1.35E-05	-1.40E-04	-2.98E-05
0.028	-1.53E-05	-1.60E-04	-3.41E-05
0.032	-1.69E-05	-1.80E-04	-3.84E-05
0.036	-1.82E-05	-1.99E-04	-4.28E-05
0.04	-1.94E-05	-2.18E-04	-4.73E-05
0.044	-2.07E-05	-2.36E-04	-5.16E-05
0.048	-2.21E-05	-2.52E-04	-5.52E-05
0.052	-2.37E-05	-2.67E-04	-5.80E-05
0.056	-2.52E-05	-2.80E-04	-6.04E-05
0.06	-2.66E-05	-2.93E-04	-6.28E-05
0.064	-2.78E-05	-3.06E-04	-6.55E-05
0.068	-2.90E-05	-3.19E-04	-6.81E-05
0.072	-3.01E-05	-3.30E-04	-7.07E-05
0.076	-3.12E-05	-3.41E-04	-7.33E-05
0.08	-3.23E-05	-3.52E-04	-7.55E-05
0.084	-3.33E-05	-3.61E-04	-7.74E-05
0.088	-3.43E-05	-3.70E-04	-7.92E-05
0.092	-3.51E-05	-3.79E-04	-8.15E-05
0.096	-3.58E-05	-3.88E-04	-8.43E-05
0.1	-3.63E-05	-3.96E-04	-8.70E-05
0.104	-3.69E-05	-4.04E-04	-8.93E-05
0.108	-3.76E-05	-4.10E-04	-9.12E-05
0.112	-3.81E-05	-4.16E-04	-9.28E-05
0.116	-3.85E-05	-4.22E-04	-9.40E-05
0.12	-3.89E-05	-4.27E-04	-9.54E-05
0.124	-3.92E-05	-4.31E-04	-9.70E-05
0.128	-3.95E-05	-4.36E-04	-9.85E-05
0.132	-3.97E-05	-4.40E-04	-9.99E-05
0.136	-3.99E-05	-0.0004429366016	-0.0001009042109
0.14	-4.01E-05	-0.0004453479594	-0.0001015356407
0.144	-4.02E-05	-0.0004473224251	-0.0001019587355
0.148	-4.00E-05	-0.0004490439992	-0.0001023529016
0.152	-3.99E-05	-0.0004507571017	-0.0001031710252
0.156	-3.99E-05	-0.0004522833663	-0.0001043310981
